Conc1	2.5E-07	
Start1	420	
Stop1	779.81	
Kobs	0.0161533364471026	
Error Kobs	0.000108886941950246	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	-0.00126839	0	
420.2	0.00201547	0.00560896	
420.4	0.00591823	0.0111533	
420.6	0.01053137	0.01663376	
420.8	0.01571139	0.02205109	
421	0.02157259	0.027406	
421.2	0.02765398	0.03269922	
421.4	0.03419091	0.03793145	
421.6	0.04101059	0.04310341	
421.8	0.04771651	0.04821578	
422	0.05447938	0.05326925	
422.2	0.06076234	0.0582645	
422.4	0.06672992	0.0632022	
422.6	0.07287771	0.06808302	
422.8	0.07849599	0.0729076	
423	0.08390799	0.07767661	
423.2	0.08967736	0.08239066	
423.4	0.09523759	0.08705041	
423.6	0.10042994	0.09165648	
423.8	0.10615577	0.09620947	
424	0.11116971	0.10071002	
424.2	0.11610004	0.10515871	
424.4	0.12097926	0.10955615	
424.6	0.12611725	0.11390293	
424.8	0.13130601	0.11819963	
425	0.13631011	0.12244683	
425.2	0.14110682	0.12664509	
425.4	0.14603154	0.13079499	
425.6	0.15095626	0.13489708	
425.8	0.15564354	0.13895191	
426	0.1603497	0.14296002	
426.2	0.16499048	0.14692196	
426.4	0.16943282	0.15083825	
426.6	0.17360636	0.15470943	
426.8	0.17767834	0.158536	
427	0.18194669	0.16231849	
427.2	0.18569521	0.1660574	
427.4	0.18939288	0.16975324	
427.6	0.19276631	0.17340649	
427.8	0.19639069	0.17701766	
428	0.19949861	0.18058722	
428.2	0.20283041	0.18411566	
428.4	0.20679749	0.18760345	
428.6	0.21032443	0.19105106	
428.8	0.21376754	0.19445895	
429	0.21718368	0.19782757	
429.2	0.22015163	0.20115739	
429.4	0.22350223	0.20444884	
429.6	0.22695343	0.20770238	
429.8	0.23002273	0.21091843	
430	0.233097	0.21409742	
430.2	0.23632904	0.2172398	
430.4	0.23908356	0.22034597	
430.6	0.24202382	0.22341635	
430.8	0.24497171	0.22645136	
431	0.24780465	0.22945141	
431.2	0.25040395	0.23241689	
431.4	0.253242	0.23534821	
431.6	0.25604956	0.23824575	
