Conc1	5E-07	
Start1	420	
Stop1	779.8	
Kobs	0.0161533364471026	
Error Kobs	0.000108886941950246	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	0.00337123	0	
420.2	0.00928676	0.01113767	
420.4	0.01642749	0.0220554	
420.6	0.02453037	0.03275754	
420.8	0.03383974	0.04324834	
421	0.04432597	0.05353198	
421.2	0.05553244	0.06361254	
421.4	0.06742907	0.07349404	
421.6	0.07969268	0.08318041	
421.8	0.09188678	0.0926755	
422	0.1038058	0.10198308	
422.2	0.1152656	0.11110687	
422.4	0.12592601	0.12005049	
422.6	0.13625759	0.1288175	
422.8	0.14599647	0.13741138	
423	0.15556965	0.14583556	
423.2	0.16440574	0.15409338	
423.4	0.17308462	0.16218813	
423.6	0.18130165	0.17012304	
423.8	0.18932375	0.17790125	
424	0.19715357	0.18552587	
424.2	0.20445336	0.19299992	
424.4	0.21157339	0.20032638	
424.6	0.21844585	0.20750816	
424.8	0.22541499	0.21454812	
425	0.23253891	0.22144906	
425.2	0.23914022	0.22821373	
425.4	0.24599895	0.23484481	
425.6	0.2522144	0.24134495	
425.8	0.25829028	0.24771673	
426	0.26438535	0.25396268	
426.2	0.2702295	0.26008529	
426.4	0.27581623	0.266087	
426.6	0.28119028	0.27197019	
426.8	0.28616148	0.27773721	
427	0.29137278	0.28339034	
427.2	0.29614731	0.28893184	
427.4	0.30070092	0.29436391	
427.6	0.30517164	0.29968871	
427.8	0.30934597	0.30490836	
428	0.31349304	0.31002494	
428.2	0.31733367	0.31504048	
428.4	0.32175195	0.31995697	
428.6	0.32598589	0.32477638	
428.8	0.33044774	0.32950062	
429	0.33464894	0.33413157	
429.2	0.33848266	0.33867107	
429.4	0.34241056	0.34312093	
429.6	0.34578857	0.34748292	
429.8	0.34960946	0.35175876	
430	0.35327475	0.35595018	
430.2	0.35652832	0.36005882	
430.4	0.35969745	0.36408633	
430.6	0.36274219	0.36803431	
430.8	0.36552477	0.37190432	
431	0.36856067	0.37569791	
431.2	0.37133948	0.3794166	
431.4	0.37378789	0.38306184	
431.6	0.37664982	0.38663511	
431.8	0.37940506	0.39013781	
432	0.38212585	0.39357134	
432.2	0.38477369	0.39693707	
432.4	0.38773718	0.40023634	
432.6	0.39018746	0.40347045	
432.8	0.39276365	0.4066407	
433	0.39484428	0.40974835	
433.2	0.3967663	0.41279463	
433.4	0.39903951	0.41578075	
433.6	0.40140871	0.41870791	
433.8	0.40388298	0.42157726	
434	0.40615904	0.42438995	
434.2	0.40820496	0.4271471	
434.4	0.40984884	0.4298498	
434.6	0.41227033	0.43249913	
434.8	0.41431682	0.43509615	
435	0.41664149	0.43764188	
435.2	0.41909814	0.44013733	
435.4	0.42139523	0.44258352	
435.6	0.42389695	0.44498139	
435.8	0.42620313	0.44733192	
436	0.4282595	0.44963602	
436.2	0.43033039	0.45189463	
436.4	0.43176098	0.45410864	
436.6	0.43289314	0.45627893	
436.8	0.43441335	0.45840636	
437	0.43574877	0.46049177	
437.2	0.43725143	0.46253601	
437.4	0.43887899	0.46453988	
437.6	0.44027275	0.46650418	
437.8	0.44177462	0.46842969	
438	0.44321308	0.47031717	
438.2	0.44442033	0.47216739	
438.4	0.445801	0.47398106	
438.6	0.44766563	0.47575892	
438.8	0.44885781	0.47750168	
439	0.45003431	0.47921002	
439.2	0.45159934	0.48088462	
439.4	0.45275291	0.48252616	
439.6	0.4540388	0.48413528	
439.8	0.45538783	0.48571262	
440	0.45659211	0.48725882	
440.2	0.45778388	0.48877448	
440.4	0.45839537	0.49026021	
440.6	0.45986162	0.4917166	
440.8	0.46127423	0.49314424	
441	0.46261914	0.49454368	
441.2	0.46391645	0.49591549	
441.4	0.46505837	0.4972602	
441.6	0.46662315	0.49857837	
441.8	0.46826016	0.4998705	
442	0.46940103	0.50113712	
442.2	0.47042388	0.50237872	
442.4	0.47176309	0.50359581	
442.6	0.47294333	0.50478886	
442.8	0.4736743	0.50595835	
443	0.47451569	0.50710475	
443.2	0.47541706	0.50822851	
443.4	0.47621456	0.50933008	
443.6	0.47715737	0.5104099	
443.8	0.47792676	0.51146839	
444	0.47869072	0.51250598	
444.2	0.4796222	0.51352308	
444.4	0.48052569	0.5145201	
444.6	0.48165833	0.51549743	
444.8	0.48221076	0.51645546	
445	0.48301685	0.51739457	
445.2	0.48366614	0.51831513	
445.4	0.48459268	0.51921752	
445.6	0.4858716	0.52010209	
445.8	0.48681135	0.52096919	
446	0.48736736	0.52181916	
446.2	0.48835154	0.52265235	
446.4	0.48897444	0.52346909	
446.6	0.48964008	0.5242697	
446.8	0.49002188	0.5250545	
447	0.49069853	0.52582381	
447.2	0.49127169	0.52657792	
447.4	0.49225853	0.52731714	
447.6	0.49261863	0.52804176	
447.8	0.49326606	0.52875207	
448	0.4942549	0.52944836	
448.2	0.49568084	0.53013089	
448.4	0.49673985	0.53079995	
448.6	0.49757745	0.5314558	
448.8	0.49817171	0.53209869	
449	0.49895403	0.53272889	
449.2	0.499537	0.53334665	
449.4	0.50048171	0.5339522	
449.6	0.50141279	0.5345458	
449.8	0.5022372	0.53512768	
450	0.50253837	0.53569806	
450.2	0.50259016	0.53625719	
450.4	0.50279972	0.53680527	
450.6	0.50328416	0.53734252	
450.8	0.50408758	0.53786917	
451	0.50443583	0.53838542	
451.2	0.50481209	0.53889148	
451.4	0.50505541	0.53938754	
451.6	0.50515661	0.5398738	
451.8	0.50592618	0.54035047	
452	0.50670984	0.54081772	
452.2	0.50735524	0.54127574	
452.4	0.50813712	0.54172472	
452.6	0.50879395	0.54216483	
452.8	0.50957342	0.54259625	
453	0.51045959	0.54301915	
453.2	0.51129047	0.5434337	
453.4	0.51188783	0.54384007	
453.6	0.51266599	0.54423841	
453.8	0.51334351	0.54462888	
454	0.51366208	0.54501165	
454.2	0.5144756	0.54538685	
454.4	0.51521863	0.54575465	
454.6	0.51554665	0.54611518	
454.8	0.51624876	0.54646859	
455	0.51615035	0.54681503	
455.2	0.51633309	0.54715462	
455.4	0.51622013	0.54748751	
455.6	0.51665989	0.54781382	
455.8	0.5166752	0.54813369	
456	0.51721127	0.54844724	
456.2	0.51767469	0.5487546	
456.4	0.51823891	0.54905589	
456.6	0.51841528	0.54935124	
456.8	0.51880221	0.54964075	
457	0.5194375	0.54992454	
457.2	0.51954773	0.55020273	
457.4	0.5196828	0.55047542	
457.6	0.52060906	0.55074273	
457.8	0.52113248	0.55100476	
458	0.52164123	0.55126162	
458.2	0.52205787	0.55151341	
458.4	0.52219623	0.55176022	
458.6	0.52264535	0.55200216	
458.8	0.52292983	0.55223932	
459	0.52323906	0.5524718	
459.2	0.52388446	0.55269969	
459.4	0.52412741	0.55292307	
459.6	0.52497241	0.55314205	
459.8	0.52513221	0.5533567	
460	0.52593292	0.55356711	
460.2	0.52622088	0.55377337	
460.4	0.52619091	0.55397556	
460.6	0.52655136	0.55417375	
460.8	0.52697316	0.55436803	
461	0.52759463	0.55455847	
461.2	0.52758623	0.55474515	
461.4	0.52824922	0.55492815	
461.6	0.5291156	0.55510753	
461.8	0.52910525	0.55528337	
462	0.52954131	0.55545573	
462.2	0.53025639	0.5556247	
462.4	0.53114949	0.55579032	
462.6	0.53129982	0.55595268	
462.8	0.53223292	0.55611183	
463	0.53294341	0.55626784	
463.2	0.53337476	0.55642076	
463.4	0.53353323	0.55657067	
463.6	0.53419675	0.55671761	
463.8	0.53387384	0.55686166	
464	0.53449629	0.55700286	
464.2	0.53464859	0.55714127	
464.4	0.53481994	0.55727695	
464.6	0.53536645	0.55740995	
464.8	0.53510735	0.55754032	
465	0.535159	0.55766812	
465.2	0.53536249	0.55779339	
465.4	0.53552686	0.55791619	
465.6	0.53570301	0.55803657	
465.8	0.53584217	0.55815457	
466	0.53652144	0.55827024	
466.2	0.5371791	0.55838362	
466.4	0.53726402	0.55849477	
466.6	0.53756396	0.55860372	
466.8	0.53840992	0.55871052	
467	0.53805805	0.55881521	
467.2	0.53796301	0.55891783	
467.4	0.5382545	0.55901842	
467.6	0.53830717	0.55911703	
467.8	0.53802932	0.5592137	
468	0.53849668	0.55930845	
468.2	0.53876056	0.55940133	
468.4	0.53885674	0.55949238	
468.6	0.53882133	0.55958163	
468.8	0.5384988	0.55966912	
469	0.53883894	0.55975488	
469.2	0.53883611	0.55983895	
469.4	0.53894273	0.55992135	
469.6	0.5390503	0.56000213	
469.8	0.53924095	0.56008132	
470	0.53937838	0.56015894	
470.2	0.5395897	0.56023503	
470.4	0.53945763	0.56030961	
470.6	0.53968751	0.56038272	
470.8	0.53994466	0.56045439	
471	0.53977761	0.56052465	
471.2	0.54009564	0.56059351	
471.4	0.54014803	0.56066102	
471.6	0.54045625	0.56072719	
471.8	0.54084127	0.56079206	
472	0.54163441	0.56085564	
472.2	0.542297	0.56091797	
472.4	0.54249714	0.56097907	
472.6	0.54278006	0.56103896	
472.8	0.54330203	0.56109767	
473	0.54351507	0.56115522	
473.2	0.54411997	0.56121164	
473.4	0.54458446	0.56126694	
473.6	0.54475229	0.56132115	
473.8	0.54506374	0.56137428	
474	0.54514608	0.56142637	
474.2	0.54527432	0.56147743	
474.4	0.54505893	0.56152748	
474.6	0.54510113	0.56157654	
474.8	0.54541883	0.56162464	
475	0.54544062	0.56167178	
475.2	0.54564609	0.561718	
475.4	0.54540604	0.5617633	
475.6	0.54584569	0.5618077	
475.8	0.54580492	0.56185123	
476	0.54616666	0.5618939	
