Conc1	6.25E-08	
Start1	420	
Stop1	779.8	
Kobs	0.0161533364471026	
Error Kobs	0.000108886941950246	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	-0.01503879	0	
420.2	-0.01389825	0.00126171	
420.4	-0.0126577	0.00251673	
420.6	-0.0114951	0.00376508	
420.8	-0.01044078	0.00500681	
421	-0.00932118	0.00624196	
421.2	-0.00828414	0.00747055	
421.4	-0.00725098	0.00869262	
421.6	-0.00575224	0.00990821	
421.8	-0.00436145	0.01111735	
422	-0.00285259	0.01232007	
422.2	-0.00164015	0.01351642	
422.4	-0.00054806	0.01470641	
422.6	0.0004056	0.01589009	
422.8	0.00176603	0.01706749	
423	0.00346525	0.01823864	
423.2	0.00506196	0.01940358	
423.4	0.00721495	0.02056234	
423.6	0.00927178	0.02171495	
423.8	0.0112377	0.02286144	
424	0.01324377	0.02400186	
424.2	0.01494569	0.02513622	
424.4	0.01635633	0.02626456	
424.6	0.01764737	0.02738691	
424.8	0.01911321	0.02850331	
425	0.02047592	0.02961379	
425.2	0.02196351	0.03071837	
425.4	0.02343398	0.0318171	
425.6	0.02520303	0.03290999	
425.8	0.02666991	0.03399709	
426	0.02814823	0.03507842	
426.2	0.02919901	0.03615401	
426.4	0.03061144	0.03722389	
426.6	0.0318738	0.0382881	
426.8	0.03292683	0.03934666	
427	0.03393321	0.0403996	
427.2	0.03541997	0.04144696	
427.4	0.03703588	0.04248876	
427.6	0.03818829	0.04352503	
427.8	0.03976125	0.04455581	
428	0.04055426	0.04558111	
428.2	0.04161762	0.04660098	
428.4	0.04310366	0.04761543	
428.6	0.04462331	0.0486245	
428.8	0.04629621	0.04962822	
429	0.0477244	0.05062661	
429.2	0.04912368	0.05161971	
429.4	0.05035074	0.05260753	
429.6	0.05188485	0.05359012	
429.8	0.05329057	0.05456749	
430	0.0544361	0.05553967	
430.2	0.05558661	0.0565067	
430.4	0.05686401	0.05746859	
430.6	0.05794516	0.05842539	
430.8	0.05882934	0.0593771	
431	0.060225	0.06032377	
431.2	0.0618354	0.06126541	
431.4	0.06295454	0.06220206	
431.6	0.06362041	0.06313374	
431.8	0.06505434	0.06406047	
432	0.06567498	0.06498229	
432.2	0.06700915	0.06589921	
432.4	0.06833018	0.06681128	
432.6	0.06939599	0.0677185	
432.8	0.0709095	0.06862091	
433	0.07177483	0.06951853	
433.2	0.07288685	0.07041138	
433.4	0.07378219	0.07129951	
433.6	0.07490038	0.07218291	
433.8	0.07557444	0.07306163	
434	0.07677083	0.07393569	
434.2	0.07768791	0.07480511	
434.4	0.07822264	0.07566992	
434.6	0.07898045	0.07653014	
434.8	0.08029426	0.0773858	
435	0.08171882	0.07823691	
435.2	0.08258802	0.07908351	
435.4	0.08355007	0.07992562	
435.6	0.08433052	0.08076326	
435.8	0.08547172	0.08159646	
436	0.08588769	0.08242523	
436.2	0.0869042	0.08324961	
436.4	0.08797576	0.08406961	
436.6	0.08893035	0.08488526	
436.8	0.09033123	0.08569659	
437	0.09085358	0.08650361	
437.2	0.09179079	0.08730635	
437.4	0.09220119	0.08810483	
437.6	0.09297118	0.08889907	
437.8	0.09362732	0.0896891	
438	0.09466838	0.09047493	
438.2	0.09522489	0.0912566	
438.4	0.09591665	0.09203412	
438.6	0.09712124	0.09280751	
438.8	0.09833998	0.09357681	
439	0.09957251	0.09434201	
439.2	0.10046657	0.09510316	
439.4	0.10135297	0.09586027	
439.6	0.1026508	0.09661337	
439.8	0.1033553	0.09736247	
440	0.10401463	0.09810759	
440.2	0.10513964	0.09884876	
440.4	0.10586119	0.099586	
440.6	0.10706429	0.10031932	
440.8	0.10799909	0.10104876	
441	0.10848955	0.10177432	
441.2	0.10926146	0.10249604	
441.4	0.11017461	0.10321392	
441.6	0.11114438	0.103928	
441.8	0.11188123	0.10463828	
442	0.11292768	0.1053448	
442.2	0.11400628	0.10604757	
442.4	0.11435475	0.10674662	
442.6	0.11539184	0.10744195	
442.8	0.11612734	0.10813359	
443	0.11732039	0.10882157	
443.2	0.11809243	0.10950589	
443.4	0.11909496	0.11018658	
443.6	0.12017176	0.11086366	
443.8	0.1205634	0.11153715	
444	0.12112736	0.11220707	
444.2	0.1219305	0.11287343	
444.4	0.12258212	0.11353625	
444.6	0.12325292	0.11419556	
444.8	0.12361972	0.11485137	
445	0.12406346	0.1155037	
445.2	0.12471463	0.11615257	
445.4	0.12577635	0.116798	
445.6	0.12648979	0.11744	
445.8	0.12704018	0.11807859	
446	0.12797401	0.1187138	
446.2	0.1284769	0.11934564	
446.4	0.12928734	0.11997412	
446.6	0.13057377	0.12059927	
446.8	0.13151862	0.12122111	
447	0.13223489	0.12183964	
447.2	0.13322423	0.12245489	
447.4	0.1339903	0.12306688	
447.6	0.13508251	0.12367562	
447.8	0.13570742	0.12428113	
448	0.13604781	0.12488343	
448.2	0.13664293	0.12548253	
448.4	0.13698326	0.12607845	
448.6	0.13725249	0.12667122	
448.8	0.13818892	0.12726083	
449	0.13900129	0.12784732	
449.2	0.13964852	0.1284307	
449.4	0.14044231	0.12901098	
449.6	0.14090771	0.12958818	
449.8	0.14128369	0.13016232	
450	0.14171989	0.13073341	
450.2	0.14223219	0.13130148	
450.4	0.14310128	0.13186653	
450.6	0.14330709	0.13242858	
450.8	0.14398199	0.13298765	
451	0.14458199	0.13354375	
451.2	0.14535141	0.1340969	
451.4	0.14591381	0.13464712	
451.6	0.14653146	0.13519442	
451.8	0.1466293	0.13573881	
452	0.1470919	0.13628032	
452.2	0.14774608	0.13681895	
452.4	0.14848408	0.13735472	
452.6	0.14916794	0.13788766	
452.8	0.14997486	0.13841776	
453	0.15047321	0.13894505	
453.2	0.15078356	0.13946955	
453.4	0.15140718	0.13999126	
453.6	0.15168384	0.1405102	
453.8	0.15213722	0.14102639	
454	0.15266693	0.14153984	
