Conc1	1.25E-07	
Start1	420	
Stop1	779.8	
Kobs	0.0023044491822067	
Error Kobs	1.95701090638712E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	-0.00646758	0	
420.2	-0.00492534	0.0023766	
420.4	-0.00272178	0.00474264	
420.6	-0.00007514	0.00709814	
420.8	0.00267856	0.00944318	
421	0.00558917	0.01177778	
421.2	0.0087746	0.01410199	
421.4	0.01197507	0.01641587	
421.6	0.01506424	0.01871946	
421.8	0.01822772	0.0210128	
422	0.02115683	0.02329595	
422.2	0.02402958	0.02556893	
422.4	0.0271644	0.02783181	
422.6	0.03033346	0.03008462	
422.8	0.03342635	0.03232741	
423	0.03614202	0.03456023	
423.2	0.03881335	0.03678312	
423.4	0.04148016	0.03899612	
423.6	0.04419587	0.04119927	
423.8	0.04669136	0.04339263	
424	0.04940781	0.04557623	
424.2	0.05240313	0.04775012	
424.4	0.05561414	0.04991434	
424.6	0.05860055	0.05206893	
424.8	0.06101564	0.05421394	
425	0.06392538	0.05634941	
425.2	0.06691027	0.05847538	
425.4	0.06948592	0.0605919	
425.6	0.07181255	0.062699	
425.8	0.07475005	0.06479673	
426	0.07711469	0.06688513	
426.2	0.07980925	0.06896424	
426.4	0.08272901	0.0710341	
426.6	0.08556072	0.07309476	
426.8	0.08813234	0.07514625	
427	0.0906359	0.07718861	
427.2	0.09319762	0.0792219	
427.4	0.09540747	0.08124614	
427.6	0.09807308	0.08326137	
427.8	0.10062861	0.08526764	
428	0.10327079	0.08726499	
428.2	0.10575797	0.08925346	
428.4	0.10834294	0.09123308	
428.6	0.11069454	0.09320389	
428.8	0.11291688	0.09516594	
429	0.11535495	0.09711926	
429.2	0.11769802	0.0990639	
429.4	0.11973255	0.10099988	
429.6	0.12214578	0.10292726	
429.8	0.12458525	0.10484606	
430	0.12656576	0.10675633	
430.2	0.12894668	0.1086581	
430.4	0.13159304	0.11055141	
430.6	0.13401423	0.1124363	
430.8	0.13615597	0.11431281	
431	0.1384082	0.11618097	
431.2	0.14089927	0.11804082	
431.4	0.14329505	0.1198924	
431.6	0.14578176	0.12173575	
431.8	0.14806139	0.12357089	
432	0.15008436	0.12539788	
432.2	0.15233266	0.12721673	
432.4	0.1549554	0.1290275	
432.6	0.15677355	0.13083021	
432.8	0.15869745	0.13262491	
433	0.16028256	0.13441162	
433.2	0.16265924	0.13619039	
433.4	0.16470218	0.13796124	
433.6	0.16663427	0.13972422	
433.8	0.16823194	0.14147935	
434	0.16999295	0.14322668	
434.2	0.1717827	0.14496624	
434.4	0.17366958	0.14669806	
434.6	0.17518178	0.14842218	
434.8	0.17682216	0.15013863	
435	0.17863892	0.15184744	
435.2	0.18052815	0.15354866	
435.4	0.18214158	0.1552423	
435.6	0.18408101	0.15692842	
435.8	0.18592608	0.15860703	
436	0.18809866	0.16027818	
436.2	0.19033708	0.1619419	
436.4	0.19242974	0.16359821	
436.6	0.1940529	0.16524716	
436.8	0.19596999	0.16688878	
437	0.19803477	0.16852309	
437.2	0.20012921	0.17015014	
437.4	0.2018309	0.17176994	
437.6	0.20362719	0.17338255	
437.8	0.20554185	0.17498798	
438	0.20723802	0.17658627	
438.2	0.20887879	0.17817745	
438.4	0.21041065	0.17976155	
438.6	0.21201738	0.18133861	
438.8	0.21408021	0.18290865	
439	0.21569051	0.18447171	
439.2	0.21729872	0.18602782	
439.4	0.21903474	0.187577	
439.6	0.22055655	0.1891193	
439.8	0.22212528	0.19065474	
440	0.22415656	0.19218334	
440.2	0.22572548	0.19370515	
440.4	0.22697736	0.19522019	
440.6	0.22844554	0.19672849	
440.8	0.230198	0.19823008	
441	0.23194321	0.19972499	
441.2	0.23310953	0.20121326	
441.4	0.23437656	0.2026949	
441.6	0.23611699	0.20416996	
441.8	0.23756176	0.20563845	
442	0.23936163	0.20710041	
442.2	0.24088266	0.20855587	
442.4	0.24265421	0.21000486	
442.6	0.2443929	0.2114474	
442.8	0.24605578	0.21288352	
443	0.24716425	0.21431326	
443.2	0.24843398	0.21573664	
443.4	0.24965729	0.21715369	
443.6	0.25093153	0.21856443	
443.8	0.25265267	0.2199689	
444	0.25440469	0.22136712	
444.2	0.25576409	0.22275913	
444.4	0.25723204	0.22414494	
444.6	0.25899409	0.22552459	
444.8	0.26087375	0.2268981	
445	0.26241491	0.2282655	
445.2	0.26356062	0.22962683	
445.4	0.26485177	0.23098209	
445.6	0.26648399	0.23233133	
445.8	0.26788144	0.23367457	
446	0.26921488	0.23501183	
446.2	0.27020129	0.23634314	
446.4	0.27155971	0.23766854	
446.6	0.27290932	0.23898804	
446.8	0.27430822	0.24030167	
447	0.2748131	0.24160945	
447.2	0.27586236	0.24291142	
447.4	0.27706745	0.2442076	
447.6	0.2782563	0.24549802	
447.8	0.27929667	0.24678269	
448	0.28052987	0.24806165	
448.2	0.28175886	0.24933492	
448.4	0.2830239	0.25060253	
448.6	0.28452552	0.2518645	
448.8	0.28583514	0.25312086	
449	0.28727295	0.25437163	
449.2	0.28841701	0.25561683	
449.4	0.2897037	0.2568565	
449.6	0.29102222	0.25809065	
449.8	0.29196827	0.25931932	
450	0.29327993	0.26054252	
450.2	0.29473712	0.26176028	
450.4	0.29620647	0.26297262	
450.6	0.29798946	0.26417957	
450.8	0.29900953	0.26538115	
451	0.29995157	0.26657739	
451.2	0.30129363	0.26776831	
451.4	0.30227984	0.26895393	
451.6	0.30321039	0.27013428	
451.8	0.3042822	0.27130937	
452	0.30534628	0.27247924	
452.2	0.30637965	0.27364391	
452.4	0.30721494	0.2748034	
452.6	0.30839497	0.27595773	
452.8	0.30957628	0.27710692	
453	0.31092402	0.278251	
453.2	0.3117835	0.27939	
453.4	0.31268935	0.28052393	
453.6	0.31350563	0.28165281	
453.8	0.31447032	0.28277668	
454	0.31550956	0.28389554	
454.2	0.3164915	0.28500943	
454.4	0.31742782	0.28611837	
454.6	0.31842576	0.28722237	
454.8	0.31921122	0.28832146	
455	0.32008765	0.28941567	
455.2	0.320862	0.290505	
455.4	0.32210637	0.2915895	
455.6	0.32316937	0.29266916	
455.8	0.32437231	0.29374403	
456	0.32541714	0.29481411	
456.2	0.32633842	0.29587944	
456.4	0.32725106	0.29694003	
456.6	0.32843423	0.2979959	
456.8	0.32934217	0.29904707	
457	0.33024906	0.30009357	
457.2	0.33080302	0.30113541	
457.4	0.33176085	0.30217262	
457.6	0.33286223	0.30320522	
457.8	0.33388362	0.30423322	
458	0.33442163	0.30525665	
458.2	0.33546101	0.30627553	
458.4	0.33619946	0.30728988	
458.6	0.3373119	0.30829972	
458.8	0.33806324	0.30930506	
459	0.33893761	0.31030593	
