Conc1	3.125E-08	
Start1	420	
Stop1	779.8	
Kobs	0.0023044491822067	
Error Kobs	1.95701090638712E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	-0.00161027	0	
420.2	-0.00113509	0.00057341	
420.4	-0.00067721	0.00114598	
420.6	-0.00023748	0.00171772	
420.8	0.00014218	0.00228862	
421	0.00066971	0.00285869	
421.2	0.00106662	0.00342793	
421.4	0.00133559	0.00399634	
421.6	0.00186521	0.00456392	
421.8	0.00265224	0.00513067	
422	0.00332057	0.00569659	
422.2	0.00420318	0.00626169	
422.4	0.00477111	0.00682597	
422.6	0.00557618	0.00738942	
422.8	0.00623101	0.00795205	
423	0.00675249	0.00851385	
423.2	0.0071624	0.00907484	
423.4	0.00768723	0.00963501	
423.6	0.00819562	0.01019436	
423.8	0.00841043	0.0107529	
424	0.00857986	0.01131062	
424.2	0.00972058	0.01186753	
424.4	0.01002203	0.01242362	
424.6	0.01072651	0.0129789	
424.8	0.01078509	0.01353338	
425	0.01116566	0.01408704	
425.2	0.01148532	0.0146399	
425.4	0.01199937	0.01519195	
425.6	0.01299866	0.01574319	
425.8	0.01399964	0.01629363	
426	0.01461877	0.01684327	
426.2	0.01551949	0.0173921	
426.4	0.01626049	0.01794014	
426.6	0.01701034	0.01848737	
426.8	0.01802156	0.01903381	
427	0.0188003	0.01957944	
427.2	0.01952936	0.02012429	
427.4	0.02011951	0.02066833	
427.6	0.02083858	0.02121159	
427.8	0.02133624	0.02175405	
428	0.02179734	0.02229572	
428.2	0.02287898	0.0228366	
428.4	0.02363581	0.02337669	
428.6	0.02425089	0.02391599	
428.8	0.02453217	0.02445451	
429	0.02541706	0.02499224	
429.2	0.02618125	0.02552918	
429.4	0.02683626	0.02606534	
429.6	0.02765147	0.02660072	
429.8	0.02806044	0.02713532	
430	0.02861738	0.02766914	
430.2	0.02918133	0.02820218	
430.4	0.02972353	0.02873444	
430.6	0.03040621	0.02926593	
430.8	0.03145238	0.02979664	
431	0.0323068	0.03032657	
431.2	0.03288146	0.03085573	
431.4	0.03333765	0.03138412	
431.6	0.03402558	0.03191174	
431.8	0.03447383	0.03243859	
432	0.03509568	0.03296467	
432.2	0.03618469	0.03348999	
432.4	0.03679412	0.03401453	
432.6	0.03736904	0.03453831	
432.8	0.03831099	0.03506133	
433	0.03902366	0.03558358	
433.2	0.03989463	0.03610508	
433.4	0.04050382	0.03662581	
433.6	0.04134524	0.03714578	
433.8	0.04177526	0.03766499	
434	0.04260376	0.03818345	
434.2	0.04294858	0.03870115	
434.4	0.04359792	0.03921809	
434.6	0.04441162	0.03973428	
434.8	0.04498054	0.04024971	
435	0.04563316	0.0407644	
435.2	0.04628698	0.04127833	
435.4	0.04677488	0.04179151	
435.6	0.04716391	0.04230395	
435.8	0.04766092	0.04281563	
436	0.04796029	0.04332658	
436.2	0.04875926	0.04383677	
436.4	0.04888013	0.04434622	
436.6	0.04954365	0.04485493	
436.8	0.05022326	0.04536289	
437	0.05105502	0.04587012	
437.2	0.05211689	0.0463766	
437.4	0.05267363	0.04688234	
437.6	0.05322344	0.04738735	
437.8	0.05399991	0.04789162	
438	0.05487293	0.04839515	
438.2	0.05539558	0.04889795	
438.4	0.05620357	0.04940002	
438.6	0.05714551	0.04990135	
438.8	0.05766774	0.05040196	
439	0.05838571	0.05090183	
439.2	0.05910056	0.05140097	
439.4	0.05924639	0.05189938	
439.6	0.05968359	0.05239707	
439.8	0.06048183	0.05289403	
440	0.06076003	0.05339027	
440.2	0.0609902	0.05388578	
