Conc1	5E-07	
Start1	420	
Stop1	779.8	
Kobs	0.0023044491822067	
Error Kobs	1.95701090638712E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
420	0.00788796	0	
420.2	0.01259419	0.01073931	
420.4	0.01874855	0.02130343	
420.6	0.02621676	0.03169521	
420.8	0.03473828	0.04191745	
421	0.04410905	0.05197294	
421.2	0.05415922	0.06186438	
421.4	0.06485548	0.07159446	
421.6	0.07596699	0.0811658	
421.8	0.08714215	0.090581	
422	0.09832504	0.0998426	
422.2	0.10928243	0.10895311	
422.4	0.11947042	0.11791499	
422.6	0.12929592	0.12673067	
422.8	0.13878652	0.13540254	
423	0.14812752	0.14393293	
423.2	0.15711035	0.15232417	
423.4	0.16561339	0.16057851	
423.6	0.17426145	0.16869819	
423.8	0.1825074	0.17668541	
424	0.19007905	0.18454232	
424.2	0.19800838	0.19227107	
424.4	0.20575772	0.19987372	
424.6	0.21340823	0.20735235	
424.8	0.22059679	0.21470898	
425	0.22734236	0.22194559	
425.2	0.23396893	0.22906415	
425.4	0.24057334	0.23606657	
425.6	0.24710386	0.24295476	
425.8	0.25361724	0.24973058	
426	0.25968275	0.25639586	
426.2	0.26573364	0.2629524	
426.4	0.27140795	0.26940198	
426.6	0.27703676	0.27574635	
426.8	0.2824579	0.28198721	
427	0.28757995	0.28812627	
427.2	0.29273141	0.29416517	
427.4	0.29771721	0.30010555	
427.6	0.30260516	0.30594903	
427.8	0.30742346	0.31169718	
428	0.31209182	0.31735155	
428.2	0.31707043	0.32291368	
428.4	0.321851	0.32838507	
428.6	0.32661943	0.3337672	
428.8	0.33087851	0.33906153	
429	0.33562112	0.34426949	
429.2	0.34007436	0.34939249	
429.4	0.34456539	0.35443191	
429.6	0.34890471	0.35938912	
429.8	0.3530947	0.36426546	
430	0.35686677	0.36906225	
430.2	0.36075674	0.37378078	
430.4	0.36459903	0.37842234	
430.6	0.368295	0.38298818	
430.8	0.37143097	0.38747953	
431	0.37492649	0.39189761	
431.2	0.37834268	0.39624362	
431.4	0.38151821	0.40051872	
431.6	0.38476048	0.40472409	
431.8	0.38798322	0.40886084	
432	0.39100887	0.41293012	
432.2	0.39439379	0.416933	
432.4	0.39745844	0.42087059	
432.6	0.40031423	0.42474394	
432.8	0.40321244	0.4285541	
433	0.40623146	0.4323021	
433.2	0.4085385	0.43598896	
433.4	0.4115473	0.43961567	
433.6	0.4143088	0.44318322	
433.8	0.41668691	0.44669256	
434	0.41901674	0.45014466	
434.2	0.4215182	0.45354044	
434.4	0.4242161	0.45688082	
434.6	0.42697003	0.46016671	
434.8	0.429314	0.46339899	
435	0.43147766	0.46657854	
435.2	0.43365531	0.46970622	
435.4	0.43624878	0.47278288	
435.6	0.43868021	0.47580935	
435.8	0.44107267	0.47878644	
436	0.44334514	0.48171496	
436.2	0.44573305	0.48459571	
436.4	0.44797704	0.48742947	
436.6	0.45009695	0.49021699	
436.8	0.45205525	0.49295904	
437	0.453923	0.49565636	
437.2	0.45589562	0.49830968	
437.4	0.45836492	0.50091971	
437.6	0.46021088	0.50348715	
437.8	0.46197183	0.50601272	
438	0.46408182	0.50849708	
438.2	0.46630936	0.51094092	
438.4	0.46822758	0.51334488	
438.6	0.47009208	0.51570963	
438.8	0.47198193	0.5180358	
439	0.47382098	0.52032402	
439.2	0.47552841	0.52257492	
439.4	0.47710943	0.52478909	
439.6	0.47834634	0.52696714	
439.8	0.48006446	0.52910966	
440	0.48157659	0.53121723	
440.2	0.4829679	0.53329041	
440.4	0.48466764	0.53532977	
440.6	0.48601086	0.53733587	
440.8	0.48729951	0.53930923	
441	0.48883544	0.54125041	
441.2	0.49005604	0.54315991	
441.4	0.49151408	0.54503827	
441.6	0.4927417	0.54688598	
441.8	0.494203	0.54870355	
442	0.49577628	0.55049146	
442.2	0.4969152	0.55225021	
442.4	0.49850919	0.55398027	
442.6	0.50042729	0.5556821	
442.8	0.50241093	0.55735618	
443	0.50329702	0.55900294	
443.2	0.50420239	0.56062283	
443.4	0.50527817	0.5622163	
443.6	0.50665615	0.56378377	
443.8	0.50796591	0.56532568	
444	0.50915999	0.56684243	
444.2	0.51066557	0.56833443	
444.4	0.51199377	0.56980209	
444.6	0.51289514	0.57124582	
444.8	0.51425838	0.57266598	
445	0.51544284	0.57406299	
445.2	0.51625653	0.5754372	
445.4	0.51756957	0.57678899	
445.6	0.51858115	0.57811873	
445.8	0.51984666	0.57942677	
446	0.52102855	0.58071348	
446.2	0.52229365	0.5819792	
446.4	0.52419187	0.58322426	
446.6	0.5255422	0.58444902	
446.8	0.52661455	0.58565379	
447	0.52743678	0.58683892	
447.2	0.52844827	0.5880047	
447.4	0.52932805	0.58915147	
447.6	0.53039298	0.59027953	
447.8	0.53135433	0.59138919	
448	0.5322611	0.59248075	
448.2	0.53334375	0.59355449	
448.4	0.53427755	0.59461073	
448.6	0.53538513	0.59564973	
448.8	0.53638729	0.59667178	
449	0.53693332	0.59767715	
449.2	0.53777181	0.59866613	
449.4	0.53898529	0.59963897	
449.6	0.53972069	0.60059594	
449.8	0.54049594	0.6015373	
450	0.54146552	0.6024633	
450.2	0.54247081	0.6033742	
450.4	0.54329625	0.60427023	
450.6	0.54378789	0.60515165	
450.8	0.54481984	0.60601869	
451	0.54577996	0.60687158	
451.2	0.54614071	0.60771056	
451.4	0.54678659	0.60853586	
451.6	0.54778355	0.60934769	
451.8	0.54851063	0.61014627	
452	0.54904434	0.61093183	
452.2	0.55018356	0.61170457	
452.4	0.55131906	0.61246471	
452.6	0.55238803	0.61321244	
452.8	0.55325058	0.61394798	
453	0.55429581	0.61467152	
453.2	0.55540763	0.61538325	
453.4	0.55636822	0.61608337	
453.6	0.5567447	0.61677208	
453.8	0.55746824	0.61744954	
454	0.55826945	0.61811596	
454.2	0.55872488	0.6187715	
454.4	0.5591546	0.61941635	
454.6	0.55986363	0.62005067	
454.8	0.56058331	0.62067465	
455	0.56077387	0.62128845	
455.2	0.56103348	0.62189224	
455.4	0.5615561	0.62248618	
455.6	0.56243149	0.62307043	
455.8	0.56304226	0.62364514	
456	0.56353565	0.62421048	
456.2	0.56449649	0.6247666	
456.4	0.56550153	0.62531365	
456.6	0.56631246	0.62585177	
456.8	0.56743202	0.62638111	
457	0.56813535	0.62690182	
457.2	0.56892193	0.62741403	
457.4	0.56956954	0.62791789	
457.6	0.56994824	0.62841352	
457.8	0.5707898	0.62890107	
458	0.57106915	0.62938067	
458.2	0.57155607	0.62985244	
458.4	0.57164276	0.63031652	
458.6	0.57231259	0.63077303	
458.8	0.57262095	0.63122208	
459	0.5733123	0.63166382	
459.2	0.57376879	0.63209834	
459.4	0.57430033	0.63252578	
459.6	0.57499928	0.63294625	
459.8	0.5753523	0.63335985	
460	0.57544101	0.63376671	
460.2	0.5763153	0.63416693	
460.4	0.57689317	0.63456062	
460.6	0.57752585	0.63494789	
460.8	0.57832573	0.63532884	
461	0.57850667	0.63570358	
461.2	0.57929458	0.6360722	
461.4	0.57970446	0.63643481	
461.6	0.58003725	0.6367915	
461.8	0.58068527	0.63714238	
462	0.58123411	0.63748753	
462.2	0.58179161	0.63782705	
462.4	0.58236678	0.63816103	
462.6	0.58326685	0.63848956	
462.8	0.58389962	0.63881273	
463	0.5844901	0.63913064	
463.2	0.58452014	0.63944335	
463.4	0.58519988	0.63975096	
463.6	0.58549382	0.64005356	
463.8	0.58564465	0.64035122	
464	0.58605274	0.64064402	
464.2	0.58690651	0.64093205	
464.4	0.58723892	0.64121537	
