Conc1	1E-07	
Start1	180	
Stop1	299.8	
Kobs	0.0581717488893242	
Error Kobs	0.000486965419822274	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.00227934	0	
180.2	0.00235384	0.00067097	
180.4	0.00247727	0.00133205	
180.6	0.00214288	0.00198338	
180.8	0.00212296	0.0026251	
181	0.00217965	0.00325737	
181.2	0.00243008	0.00388032	
181.4	0.00301138	0.00449408	
181.6	0.00377968	0.00509879	
181.8	0.00416534	0.00569459	
182	0.00513238	0.0062816	
182.2	0.00579754	0.00685996	
182.4	0.00695924	0.00742979	
182.6	0.00712456	0.00799122	
182.8	0.00771458	0.00854437	
183	0.00882795	0.00908937	
183.2	0.00997322	0.00962633	
183.4	0.01112869	0.01015538	
183.6	0.01207949	0.01067663	
183.8	0.01357976	0.01119019	
184	0.01442305	0.01169618	
184.2	0.01532997	0.01219471	
184.4	0.01590806	0.01268589	
184.6	0.01632361	0.01316983	
184.8	0.01662084	0.01364663	
185	0.01643965	0.01411641	
185.2	0.01653308	0.01457926	
185.4	0.01694603	0.01503528	
185.6	0.01684262	0.01548458	
185.8	0.01662368	0.01592726	
186	0.01675945	0.01636341	
186.2	0.01656268	0.01679313	
186.4	0.01673486	0.01721652	
186.6	0.0172779	0.01763366	
186.8	0.0178835	0.01804465	
187	0.0185376	0.01844959	
187.2	0.01943232	0.01884855	
187.4	0.02009116	0.01924163	
187.6	0.02086715	0.01962892	
187.8	0.02207541	0.0200105	
188	0.02248701	0.02038645	
188.2	0.02291518	0.02075686	
188.4	0.02346468	0.0211218	
188.6	0.02388804	0.02148137	
188.8	0.02391875	0.02183564	
189	0.02383656	0.02218468	
189.2	0.02458735	0.02252858	
189.4	0.02398061	0.0228674	
189.6	0.02362049	0.02320123	
189.8	0.02374246	0.02353014	
190	0.02378661	0.0238542	
190.2	0.02402217	0.02417349	
190.4	0.02412979	0.02448806	
190.6	0.02425219	0.024798	
190.8	0.0245724	0.02510337	
191	0.02555299	0.02540423	
191.2	0.02647178	0.02570066	
191.4	0.02700126	0.02599272	
191.6	0.02766458	0.02628048	
191.8	0.02808933	0.02656399	
192	0.02862447	0.02684332	
192.2	0.02922162	0.02711853	
192.4	0.02929496	0.02738969	
192.6	0.02992095	0.02765685	
192.8	0.03005435	0.02792007	
193	0.03023255	0.02817941	
193.2	0.03039747	0.02843492	
193.4	0.02943455	0.02868667	
193.6	0.02988878	0.02893471	
193.8	0.03026669	0.02917909	
194	0.03023893	0.02941986	
194.2	0.02987326	0.02965709	
194.4	0.02957401	0.02989082	
194.6	0.02965713	0.0301211	
194.8	0.0305637	0.03034799	
195	0.03097325	0.03057154	
195.2	0.03069743	0.03079178	
195.4	0.03110427	0.03100879	
195.6	0.0311431	0.03122259	
195.8	0.03099258	0.03143324	
196	0.03157188	0.03164078	
196.2	0.03168424	0.03184526	
196.4	0.03122909	0.03204673	
196.6	0.03170658	0.03224523	
196.8	0.03166706	0.0324408	
197	0.03187519	0.03263349	
