Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.0581717488893242	
Error Kobs	0.000486965419822274	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.00042659	0	
180.2	-0.00007866	0.00011722	
180.4	-0.0002814	0.00023299	
180.6	-0.00061349	0.00034733	
180.8	-0.00072364	0.00046026	
181	-0.00125164	0.00057179	
181.2	-0.00179445	0.00068194	
181.4	-0.001821	0.00079074	
181.6	-0.00166271	0.00089818	
181.8	-0.00149161	0.0010043	
182	-0.00095412	0.00110911	
182.2	-0.00058609	0.00121262	
182.4	-0.00001163	0.00131485	
182.6	-0.00018478	0.00141581	
182.8	0.00017186	0.00151553	
183	0.00046528	0.00161402	
183.2	0.00103656	0.00171129	
183.4	0.00186212	0.00180735	
183.6	0.0024953	0.00190223	
183.8	0.00345746	0.00199594	
184	0.00372156	0.00208848	
184.2	0.00393594	0.00217989	
184.4	0.00415379	0.00227016	
184.6	0.00433339	0.00235932	
184.8	0.00433397	0.00244737	
185	0.00351109	0.00253434	
185.2	0.003369	0.00262023	
185.4	0.00376308	0.00270506	
185.6	0.00355738	0.00278884	
185.8	0.0035214	0.00287159	
186	0.00329153	0.00295331	
186.2	0.00313047	0.00303402	
186.4	0.00311392	0.00311374	
186.6	0.00309382	0.00319247	
186.8	0.00352869	0.00327022	
187	0.00356586	0.00334702	
187.2	0.00389673	0.00342286	
187.4	0.00440815	0.00349777	
187.6	0.00447998	0.00357175	
187.8	0.00481393	0.00364482	
188	0.00439881	0.00371698	
188.2	0.00449794	0.00378826	
188.4	0.00482208	0.00385865	
188.6	0.00533303	0.00392817	
188.8	0.0055071	0.00399683	
189	0.0054599	0.00406464	
189.2	0.00612585	0.00413162	
189.4	0.00595594	0.00419776	
189.6	0.00563484	0.00426309	
189.8	0.00570617	0.00432761	
190	0.00565244	0.00439133	
190.2	0.00594222	0.00445427	
190.4	0.00588282	0.00451643	
190.6	0.00568981	0.00457782	
190.8	0.00536146	0.00463845	
191	0.00552422	0.00469833	
191.2	0.00544887	0.00475747	
191.4	0.0055932	0.00481588	
191.6	0.0054135	0.00487357	
191.8	0.00557899	0.00493054	
192	0.00523679	0.00498681	
192.2	0.005651	0.00504238	
192.4	0.00587532	0.00509727	
192.6	0.00619153	0.00515148	
192.8	0.00604614	0.00520502	
193	0.00624096	0.0052579	
193.2	0.0063987	0.00531012	
193.4	0.00570649	0.0053617	
193.6	0.00582585	0.00541264	
193.8	0.00577639	0.00546295	
194	0.00556349	0.00551263	
194.2	0.00497989	0.00556171	
194.4	0.00481563	0.00561018	
194.6	0.00513665	0.00565804	
194.8	0.00523368	0.00570532	
195	0.00542416	0.00575201	
195.2	0.00503794	0.00579813	
195.4	0.00565524	0.00584367	
195.6	0.00556081	0.00588865	
195.8	0.00515342	0.00593308	
196	0.00560661	0.00597696	
196.2	0.00599542	0.00602029	
196.4	0.00597965	0.00606309	
196.6	0.00640554	0.00610536	
196.8	0.00641652	0.00614711	
197	0.00692508	0.00618834	
197.2	0.00703072	0.00622906	
197.4	0.0073905	0.00626928	
197.6	0.00781779	0.006309	
197.8	0.00773527	0.00634823	
198	0.00711338	0.00638697	
198.2	0.00714891	0.00642524	
198.4	0.0077904	0.00646303	
198.6	0.00786539	0.00650035	
198.8	0.00734338	0.00653722	
199	0.00763165	0.00657363	
199.2	0.0075598	0.00660958	
199.4	0.00799937	0.0066451	
199.6	0.00706507	0.00668017	
199.8	0.00716359	0.00671481	
200	0.00775027	0.00674903	
200.2	0.00715353	0.00678282	
200.4	0.00727452	0.00681619	
200.6	0.00702407	0.00684915	
200.8	0.00649987	0.0068817	
201	0.00637969	0.00691385	
201.2	0.00682169	0.0069456	
201.4	0.00725827	0.00697696	
201.6	0.00644499	0.00700793	
201.8	0.0061097	0.00703852	
202	0.00579796	0.00706874	
202.2	0.00631009	0.00709857	
202.4	0.00651921	0.00712804	
202.6	0.00631559	0.00715715	
202.8	0.00660052	0.00718589	
203	0.00756171	0.00721428	
203.2	0.00774862	0.00724232	
203.4	0.00774721	0.00727001	
203.6	0.00797451	0.00729736	
203.8	0.0092257	0.00732437	
204	0.00955578	0.00735105	
204.2	0.00944523	0.0073774	
204.4	0.00968922	0.00740342	
204.6	0.00916468	0.00742912	
204.8	0.00920013	0.0074545	
205	0.00963555	0.00747957	
205.2	0.00990471	0.00750433	
205.4	0.00955459	0.00752878	
205.6	0.00860268	0.00755293	
205.8	0.00897126	0.00757679	
206	0.00853298	0.00760034	
206.2	0.00810056	0.00762361	
206.4	0.00763876	0.00764659	
206.6	0.00705414	0.00766928	
206.8	0.00721049	0.00769169	
207	0.00683182	0.00771383	
207.2	0.00617722	0.00773569	
207.4	0.00579514	0.00775729	
207.6	0.00640667	0.00777861	
207.8	0.00693618	0.00779968	
208	0.0066924	0.00782048	
208.2	0.00617243	0.00784102	
208.4	0.00638684	0.00786131	
208.6	0.00631028	0.00788135	
208.8	0.00678795	0.00790114	
209	0.00714299	0.00792069	
209.2	0.00752957	0.00794	
209.4	0.00785262	0.00795907	
209.6	0.00804757	0.0079779	
209.8	0.00879709	0.0079965	
210	0.00842926	0.00801486	
210.2	0.00852744	0.00803301	
210.4	0.00851547	0.00805092	
210.6	0.00825358	0.00806862	
210.8	0.00815357	0.0080861	
211	0.00751703	0.00810336	
211.2	0.00776524	0.0081204	
211.4	0.00793232	0.00813724	
211.6	0.00828135	0.00815387	
211.8	0.0082937	0.00817029	
212	0.00798172	0.00818651	
212.2	0.008037	0.00820253	
212.4	0.00797546	0.00821836	
212.6	0.00727485	0.00823398	
212.8	0.00740732	0.00824941	
213	0.00769306	0.00826466	
213.2	0.00778216	0.00827971	
213.4	0.00744343	0.00829458	
213.6	0.00751885	0.00830926	
213.8	0.00747155	0.00832376	
214	0.00691586	0.00833809	
214.2	0.00718861	0.00835223	
214.4	0.00723394	0.0083662	
214.6	0.00734101	0.00838	
214.8	0.00721204	0.00839363	
215	0.00807779	0.00840709	
215.2	0.00855649	0.00842038	
215.4	0.00838624	0.00843351	
215.6	0.00879988	0.00844648	
215.8	0.00892203	0.00845928	
216	0.00963702	0.00847193	
216.2	0.01002421	0.00848442	
216.4	0.00978438	0.00849676	
216.6	0.00962058	0.00850895	
216.8	0.00996088	0.00852098	
217	0.00979423	0.00853286	
217.2	0.00920939	0.0085446	
217.4	0.00937839	0.0085562	
217.6	0.00915769	0.00856765	
217.8	0.00855666	0.00857895	
218	0.00836091	0.00859012	
218.2	0.00817606	0.00860115	
218.4	0.00804148	0.00861205	
218.6	0.00765411	0.00862281	
218.8	0.00773335	0.00863343	
219	0.00851059	0.00864393	
219.2	0.00869184	0.00865429	
219.4	0.00846975	0.00866453	
219.6	0.00866085	0.00867464	
219.8	0.0089945	0.00868463	
220	0.01009772	0.00869449	
