Conc1	1E-07	
Start1	180	
Stop1	299.8	
Kobs	0.00239319976370074	
Error Kobs	6.90827847125786E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.01597734	0	
180.2	0.03120187	0.02459605	
180.4	0.0487604	0.0479592	
180.6	0.06829734	0.07015126	
180.8	0.08917129	0.09123093	
181	0.1115225	0.11125396	
181.2	0.13405741	0.13027333	
181.4	0.15640411	0.14833934	
181.6	0.17799688	0.16549977	
181.8	0.19802622	0.18180003	
182	0.21574519	0.19728323	
182.2	0.23046846	0.21199032	
182.4	0.24310872	0.22596021	
182.6	0.25483784	0.23922984	
182.8	0.26547493	0.25183433	
183	0.27528465	0.26380701	
183.2	0.28470974	0.27517955	
183.4	0.29323128	0.28598204	
183.6	0.30123341	0.29624304	
183.8	0.30915762	0.3059897	
184	0.31622837	0.31524781	
184.2	0.3225645	0.32404185	
184.4	0.32858627	0.33239507	
184.6	0.33412221	0.34032959	
184.8	0.33944193	0.34786639	
185	0.34482377	0.35502539	
185.2	0.34959058	0.36182555	
185.4	0.35416638	0.36828485	
185.6	0.35865469	0.37442037	
185.8	0.36292397	0.38024834	
186	0.36660421	0.38578418	
186.2	0.37069901	0.39104253	
186.4	0.37386651	0.3960373	
186.6	0.37725677	0.40078171	
186.8	0.38031892	0.4052883	
187	0.38358972	0.409569	
187.2	0.38688592	0.41363512	
187.4	0.39002342	0.41749743	
187.6	0.39269418	0.42116613	
187.8	0.39575081	0.42465094	
188	0.3982062	0.42796107	
188.2	0.40086448	0.43110528	
188.4	0.4030222	0.43409188	
188.6	0.40523036	0.43692877	
188.8	0.40775109	0.43962347	
189	0.4101188	0.44218309	
189.2	0.41238308	0.44461441	
189.4	0.41462548	0.44692386	
189.6	0.41667052	0.44911754	
189.8	0.41867993	0.45120127	
190	0.42044291	0.45318054	
190.2	0.42249744	0.45506061	
190.4	0.42424622	0.45684643	
190.6	0.425933	0.45854274	
190.8	0.42739464	0.46015402	
191	0.42921674	0.46168453	
191.2	0.43084015	0.46313833	
191.4	0.43243073	0.46451925	
191.6	0.43367627	0.46583096	
191.8	0.43518863	0.46707691	
192	0.43618735	0.46826041	
192.2	0.43735783	0.46938458	
192.4	0.43816701	0.47045241	
192.6	0.43897287	0.47146671	
192.8	0.44042618	0.47243017	
193	0.44149115	0.47334533	
193.2	0.44292207	0.47421462	
193.4	0.44434897	0.47504034	
193.6	0.44534037	0.47582467	
193.8	0.44680852	0.47656968	
194	0.44765558	0.47727734	
194.2	0.44871475	0.47794954	
194.4	0.44963819	0.47858804	
194.6	0.45045525	0.47919454	
194.8	0.45152162	0.47977063	
195	0.45250582	0.48031785	
195.2	0.45341899	0.48083764	
195.4	0.45438343	0.48133137	
195.6	0.45527478	0.48180036	
195.8	0.45581492	0.48224583	
196	0.45663721	0.48266898	
196.2	0.45728053	0.48307092	
196.4	0.45793104	0.4834527	
196.6	0.4585551	0.48381536	
196.8	0.45986904	0.48415983	
197	0.46060723	0.48448704	
197.2	0.46161439	0.48479784	
197.4	0.46249084	0.48509307	
197.6	0.4629164	0.48537349	
197.8	0.46379152	0.48563986	
198	0.46425096	0.48589288	
198.2	0.46459505	0.48613322	
198.4	0.46454482	0.48636151	
198.6	0.46498031	0.48657835	
198.8	0.46516204	0.48678433	
199	0.46544773	0.48697998	
199.2	0.46575823	0.48716582	
199.4	0.46630126	0.48734235	
199.6	0.4669529	0.48751003	
199.8	0.46768148	0.48766931	
200	0.46778694	0.4878206	
200.2	0.46823165	0.48796431	
200.4	0.46891329	0.48810081	
200.6	0.46957233	0.48823047	
200.8	0.47015232	0.48835364	
201	0.47068904	0.48847062	
201.2	0.47128116	0.48858175	
201.4	0.47208162	0.4886873	
201.6	0.4724617	0.48878757	
201.8	0.47313106	0.4888828	
202	0.47374822	0.48897327	
202.2	0.47419082	0.4890592	
202.4	0.47465105	0.48914082	
202.6	0.47531163	0.48921835	
202.8	0.47586829	0.489292	
203	0.47627024	0.48936195	
203.2	0.47671226	0.48942839	
203.4	0.47709366	0.48949151	
203.6	0.47780577	0.48955146	
203.8	0.47819762	0.48960841	
204	0.4782434	0.4896625	
204.2	0.47927888	0.48971388	
204.4	0.47957211	0.48976269	
204.6	0.47991567	0.48980905	
204.8	0.47992971	0.48985308	
205	0.48004134	0.48989491	
205.2	0.48022728	0.48993464	
205.4	0.48069144	0.48997238	
205.6	0.48085142	0.49000823	
205.8	0.48143755	0.49004228	
206	0.4821948	0.49007463	
206.2	0.48268516	0.49010535	
206.4	0.48264229	0.49013453	
206.6	0.4831011	0.49016225	
206.8	0.48343991	0.49018858	
207	0.48384444	0.49021359	
207.2	0.48392204	0.49023735	
207.4	0.48408216	0.49025992	
207.6	0.48475154	0.49028135	
207.8	0.48464939	0.49030171	
208	0.48523202	0.49032105	
208.2	0.48557785	0.49033942	
208.4	0.48544047	0.49035687	
208.6	0.48566833	0.49037345	
208.8	0.48555352	0.49038919	
209	0.48551757	0.49040415	
209.2	0.48589148	0.49041835	
209.4	0.48608466	0.49043185	
209.6	0.48640101	0.49044466	
209.8	0.48680028	0.49045684	
210	0.48700791	0.4904684	
210.2	0.48728233	0.49047939	
210.4	0.487697	0.49048982	
210.6	0.48809589	0.49049973	
210.8	0.48815253	0.49050915	
211	0.4885108	0.49051809	
211.2	0.4886465	0.49052658	
211.4	0.48913056	0.49053465	
211.6	0.48961263	0.49054232	
211.8	0.48975419	0.4905496	
212	0.49012398	0.49055651	
212.2	0.49009848	0.49056308	
212.4	0.4898622	0.49056932	
212.6	0.49009898	0.49057524	
212.8	0.49007585	0.49058087	
213	0.49004823	0.49058622	
213.2	0.49005128	0.4905913	
213.4	0.49018692	0.49059612	
213.6	0.49026811	0.49060071	
213.8	0.49030328	0.49060506	
214	0.49041909	0.49060919	
214.2	0.49080535	0.49061312	
214.4	0.4915569	0.49061685	
214.6	0.49102095	0.4906204	
214.8	0.49150694	0.49062376	
215	0.49184977	0.49062696	
215.2	0.49222627	0.49063	
215.4	0.49250671	0.49063288	
215.6	0.49277871	0.49063562	
215.8	0.49295645	0.49063822	
216	0.49267704	0.4906407	
216.2	0.49276046	0.49064304	
216.4	0.49256682	0.49064528	
216.6	0.4928898	0.49064739	
216.8	0.49224427	0.49064941	
217	0.49273922	0.49065132	
217.2	0.49273973	0.49065313	
217.4	0.49313677	0.49065486	
217.6	0.4930817	0.4906565	
217.8	0.49358555	0.49065805	
218	0.49388433	0.49065953	
218.2	0.49471788	0.49066094	
218.4	0.49509194	0.49066227	
218.6	0.49488257	0.49066354	
218.8	0.49543475	0.49066474	
219	0.49545991	0.49066588	
219.2	0.49607458	0.49066697	
219.4	0.49584241	0.490668	
219.6	0.49599953	0.49066898	
219.8	0.49626469	0.49066991	
220	0.49563462	0.4906708	
220.2	0.49553937	0.49067164	
220.4	0.49535462	0.49067243	
220.6	0.4953795	0.49067319	
220.8	0.49529218	0.49067391	
221	0.49596399	0.49067459	
221.2	0.49566963	0.49067524	
221.4	0.49556941	0.49067586	
221.6	0.49538033	0.49067645	
221.8	0.49552089	0.490677	
222	0.49544305	0.49067753	
222.2	0.49581353	0.49067803	
222.4	0.49569749	0.49067851	
222.6	0.49583638	0.49067896	
222.8	0.49572867	0.49067939	
223	0.4962059	0.4906798	
223.2	0.4966002	0.49068019	
223.4	0.49622781	0.49068056	
223.6	0.49693076	0.49068091	
223.8	0.4970202	0.49068124	
224	0.4971039	0.49068156	
224.2	0.49740966	0.49068186	
224.4	0.49762937	0.49068214	
224.6	0.49779061	0.49068241	
224.8	0.49812889	0.49068267	
225	0.49828555	0.49068292	
225.2	0.49824436	0.49068315	
225.4	0.49829633	0.49068337	
225.6	0.4982233	0.49068358	
225.8	0.49860069	0.49068378	
226	0.49865886	0.49068397	
226.2	0.49878115	0.49068414	
226.4	0.49880916	0.49068432	
226.6	0.4994461	0.49068448	
226.8	0.49983849	0.49068463	
227	0.50025337	0.49068478	
227.2	0.50010152	0.49068492	
227.4	0.50016568	0.49068505	
227.6	0.50016151	0.49068517	
227.8	0.49962842	0.49068529	
228	0.49970931	0.49068541	
228.2	0.49927056	0.49068551	
