Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.00239319976370074	
Error Kobs	6.90827847125786E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	-0.00276106	0	
180.2	0.00177015	0.00586175	
180.4	0.00721538	0.01164654	
180.6	0.01322494	0.01735539	
180.8	0.02054517	0.02298929	
181	0.02810081	0.02854922	
181.2	0.03660986	0.03403616	
181.4	0.04511197	0.03945107	
181.6	0.05401382	0.04479489	
181.8	0.06257833	0.05006855	
182	0.07092636	0.05527298	
182.2	0.07869985	0.06040908	
182.4	0.08551424	0.06547775	
182.6	0.09243044	0.07047988	
182.8	0.09878458	0.07541633	
183	0.10481525	0.08028798	
183.2	0.1106563	0.08509568	
183.4	0.11661212	0.08984025	
183.6	0.12192137	0.09452254	
183.8	0.1276413	0.09914335	
184	0.13284924	0.1037035	
184.2	0.13804006	0.10820379	
184.4	0.14312587	0.11264499	
184.6	0.14837265	0.11702788	
184.8	0.15365323	0.12135324	
185	0.15842501	0.12562181	
185.2	0.16384516	0.12983434	
185.4	0.16871918	0.13399156	
185.6	0.17354407	0.13809421	
185.8	0.17774039	0.142143	
186	0.18227183	0.14613863	
186.2	0.18647462	0.15008181	
186.4	0.1905524	0.15397322	
186.6	0.19457342	0.15781354	
186.8	0.19832692	0.16160344	
187	0.20191812	0.16534359	
187.2	0.20579847	0.16903463	
187.4	0.20905178	0.17267722	
187.6	0.21203956	0.17627199	
187.8	0.21544322	0.17981956	
188	0.21870669	0.18332056	
188.2	0.22213367	0.18677559	
188.4	0.22536203	0.19018527	
188.6	0.22901076	0.19355018	
188.8	0.23219401	0.19687092	
189	0.23569911	0.20014806	
189.2	0.2391096	0.20338218	
189.4	0.24241911	0.20657383	
189.6	0.24502378	0.20972359	
189.8	0.24764055	0.21283199	
190	0.25055735	0.21589959	
190.2	0.25312461	0.21892691	
190.4	0.25542943	0.22191449	
190.6	0.25762907	0.22486285	
190.8	0.26021039	0.2277725	
191	0.26238148	0.23064395	
191.2	0.26491256	0.23347771	
191.4	0.26703406	0.23627426	
191.6	0.26948633	0.23903409	
191.8	0.27180072	0.2417577	
192	0.27428547	0.24444554	
192.2	0.27665797	0.2470981	
192.4	0.27904693	0.24971584	
192.6	0.28167251	0.25229921	
