Conc1	2E-07	
Start1	180	
Stop1	299.8	
Kobs	0.0033996384584118	
Error Kobs	0.000624705221162898	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	-0.00345504	0	
180.2	-0.00320278	0.00010959	
180.4	-0.00294792	0.00021909	
180.6	-0.0028901	0.0003285	
180.8	-0.00276557	0.00043782	
181	-0.0027916	0.00054706	
181.2	-0.00291093	0.0006562	
181.4	-0.00248538	0.00076526	
181.6	-0.00201119	0.00087423	
181.8	-0.00157613	0.00098311	
182	-0.00131037	0.0010919	
182.2	-0.00098042	0.0012006	
182.4	-0.00077968	0.00130922	
182.6	-0.00033734	0.00141774	
182.8	-0.00043071	0.00152618	
183	-0.00005054	0.00163454	
183.2	-0.00000562	0.0017428	
183.4	-0.00015663	0.00185098	
183.6	-0.00036321	0.00195907	
183.8	-0.00006189	0.00206707	
184	0.00023513	0.00217498	
184.2	0.00002563	0.00228281	
184.4	-0.00027106	0.00239054	
184.6	-0.00079513	0.0024982	
184.8	-0.00098987	0.00260576	
185	-0.00101125	0.00271324	
185.2	-0.00053584	0.00282063	
185.4	0.00009313	0.00292793	
185.6	0.00068753	0.00303515	
185.8	0.00086131	0.00314228	
186	0.00052296	0.00324932	
186.2	0.00145019	0.00335627	
186.4	0.00209351	0.00346314	
186.6	0.00262887	0.00356992	
186.8	0.00311445	0.00367662	
187	0.00354635	0.00378323	
187.2	0.00343497	0.00388975	
187.4	0.0039005	0.00399619	
187.6	0.00446528	0.00410254	
187.8	0.00429777	0.0042088	
188	0.00444532	0.00431498	
188.2	0.00422828	0.00442107	
188.4	0.00434518	0.00452708	
188.6	0.00434283	0.004633	
188.8	0.00454462	0.00473884	
189	0.00497302	0.00484458	
189.2	0.00535869	0.00495025	
189.4	0.00503413	0.00505582	
189.6	0.00488448	0.00516132	
189.8	0.00448045	0.00526672	
190	0.00450996	0.00537204	
190.2	0.00529509	0.00547728	
190.4	0.00573243	0.00558243	
190.6	0.00562433	0.00568749	
190.8	0.00605303	0.00579247	
191	0.00577906	0.00589737	
191.2	0.00568397	0.00600218	
191.4	0.00620859	0.0061069	
191.6	0.00658163	0.00621154	
191.8	0.00635033	0.0063161	
192	0.00662985	0.00642057	
192.2	0.00696664	0.00652496	
192.4	0.00688892	0.00662926	
192.6	0.00703071	0.00673347	
192.8	0.0072784	0.00683761	
193	0.00710862	0.00694166	
193.2	0.00722137	0.00704562	
193.4	0.0069173	0.0071495	
193.6	0.00689584	0.00725329	
193.8	0.00678344	0.00735701	
194	0.00714751	0.00746063	
194.2	0.00693882	0.00756418	
194.4	0.00723077	0.00766763	
194.6	0.00697085	0.00777101	
194.8	0.00709114	0.0078743	
195	0.00728142	0.00797751	
195.2	0.00715428	0.00808063	
195.4	0.00785563	0.00818368	
195.6	0.00855606	0.00828663	
195.8	0.00885984	0.00838951	
196	0.00928802	0.0084923	
196.2	0.00932926	0.008595	
196.4	0.00970509	0.00869763	
196.6	0.01013067	0.00880017	
196.8	0.00993658	0.00890263	
197	0.01002208	0.009005	
197.2	0.0106339	0.00910729	
197.4	0.01102784	0.0092095	
197.6	0.01127805	0.00931163	
197.8	0.01105928	0.00941367	
198	0.01149062	0.00951563	
198.2	0.01126503	0.00961751	
198.4	0.01177261	0.00971931	
198.6	0.01196556	0.00982102	
198.8	0.01164419	0.00992265	
199	0.01185084	0.0100242	
199.2	0.01154584	0.01012566	
199.4	0.0123128	0.01022705	
199.6	0.01264039	0.01032835	
199.8	0.01299173	0.01042957	
200	0.01320669	0.01053071	
