Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.0033996384584118	
Error Kobs	0.000624705221162898	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	-0.00734753	0	
180.2	-0.00688599	0.00001347	
180.4	-0.00634927	0.00002692	
180.6	-0.00622615	0.00004037	
180.8	-0.00583928	0.0000538	
181	-0.00569016	0.00006723	
181.2	-0.00560075	0.00008065	
181.4	-0.0054819	0.00009406	
181.6	-0.00551086	0.00010746	
181.8	-0.00553521	0.00012085	
182	-0.00557351	0.00013423	
182.2	-0.00587713	0.0001476	
182.4	-0.00616699	0.00016097	
182.6	-0.0058718	0.00017432	
182.8	-0.00607142	0.00018766	
183	-0.0058317	0.000201	
183.2	-0.00636348	0.00021432	
183.4	-0.00708881	0.00022764	
183.6	-0.00745413	0.00024095	
183.8	-0.00717013	0.00025424	
184	-0.0070776	0.00026753	
184.2	-0.00720805	0.00028081	
184.4	-0.0070149	0.00029408	
184.6	-0.0072194	0.00030734	
184.8	-0.00685269	0.00032059	
185	-0.00685743	0.00033383	
185.2	-0.00655134	0.00034707	
185.4	-0.00655522	0.00036029	
185.6	-0.00633187	0.0003735	
185.8	-0.00579587	0.00038671	
186	-0.0057381	0.00039991	
186.2	-0.00550067	0.00041309	
186.4	-0.00517802	0.00042627	
186.6	-0.00494123	0.00043944	
186.8	-0.00502518	0.0004526	
187	-0.00520603	0.00046575	
187.2	-0.0058303	0.00047889	
187.4	-0.00615687	0.00049202	
187.6	-0.00586479	0.00050514	
187.8	-0.00569561	0.00051826	
188	-0.0058472	0.00053136	
188.2	-0.00575188	0.00054446	
188.4	-0.00554271	0.00055754	
188.6	-0.00566858	0.00057062	
188.8	-0.00508668	0.00058369	
189	-0.00507718	0.00059675	
189.2	-0.00477859	0.0006098	
189.4	-0.00493119	0.00062284	
189.6	-0.0048861	0.00063587	
189.8	-0.00469049	0.00064889	
190	-0.00481691	0.00066191	
190.2	-0.00472586	0.00067491	
190.4	-0.00439541	0.00068791	
190.6	-0.00458391	0.00070089	
190.8	-0.00434479	0.00071387	
191	-0.00445614	0.00072684	
191.2	-0.00452977	0.0007398	
191.4	-0.00452219	0.00075275	
191.6	-0.00444764	0.00076569	
191.8	-0.00462297	0.00077862	
192	-0.00490583	0.00079155	
192.2	-0.00472445	0.00080446	
192.4	-0.00494786	0.00081737	
192.6	-0.00506256	0.00083026	
192.8	-0.00483524	0.00084315	
193	-0.00521485	0.00085603	
193.2	-0.00503108	0.0008689	
193.4	-0.00500786	0.00088176	
193.6	-0.00519534	0.00089461	
193.8	-0.00497524	0.00090745	
194	-0.0049755	0.00092029	
194.2	-0.00478521	0.00093311	
194.4	-0.0043037	0.00094593	
194.6	-0.0043828	0.00095873	
194.8	-0.00413453	0.00097153	
195	-0.0041259	0.00098432	
195.2	-0.00440643	0.0009971	
195.4	-0.00403643	0.00100987	
195.6	-0.00438538	0.00102263	
195.8	-0.00432275	0.00103539	
196	-0.00422297	0.00104813	
196.2	-0.00432643	0.00106087	
196.4	-0.00451571	0.00107359	
196.6	-0.00482489	0.00108631	
196.8	-0.00486772	0.00109902	
197	-0.0048411	0.00111172	
197.2	-0.00420339	0.00112441	
197.4	-0.00391782	0.00113709	
197.6	-0.00396006	0.00114977	
197.8	-0.00392343	0.00116243	
198	-0.00382616	0.00117509	
198.2	-0.00402278	0.00118774	
198.4	-0.00397715	0.00120038	
198.6	-0.00393661	0.00121301	
198.8	-0.0040811	0.00122563	
199	-0.00397615	0.00123824	
199.2	-0.00430446	0.00125084	
199.4	-0.00400488	0.00126344	
199.6	-0.00414935	0.00127602	
199.8	-0.00392774	0.0012886	
200	-0.00409334	0.00130117	
200.2	-0.00431915	0.00131373	
200.4	-0.00417899	0.00132628	
200.6	-0.00405804	0.00133882	
200.8	-0.00395239	0.00135135	
201	-0.00362638	0.00136388	
201.2	-0.00296138	0.00137639	
201.4	-0.00252737	0.0013889	
201.6	-0.0024038	0.0014014	
201.8	-0.00234789	0.00141389	
202	-0.00203041	0.00142637	
202.2	-0.00162259	0.00143884	
202.4	-0.0012464	0.00145131	
202.6	-0.0016306	0.00146376	
202.8	-0.00201639	0.00147621	
203	-0.00243727	0.00148865	
203.2	-0.00299144	0.00150108	
203.4	-0.00306805	0.0015135	
203.6	-0.00320618	0.00152591	
203.8	-0.00359424	0.00153831	
204	-0.00377641	0.00155071	
204.2	-0.00376178	0.00156309	
204.4	-0.00362678	0.00157547	
204.6	-0.00396362	0.00158784	
204.8	-0.00444487	0.0016002	
205	-0.00438004	0.00161255	
205.2	-0.00406484	0.00162489	
205.4	-0.00348553	0.00163723	
205.6	-0.00357124	0.00164955	
205.8	-0.00303962	0.00166187	
206	-0.00285663	0.00167418	
206.2	-0.00308984	0.00168648	
206.4	-0.0035293	0.00169877	
206.6	-0.00351199	0.00171105	
206.8	-0.00337442	0.00172333	
207	-0.00343193	0.00173559	
207.2	-0.00327971	0.00174785	
207.4	-0.00330242	0.0017601	
207.6	-0.00361654	0.00177234	
207.8	-0.00379428	0.00178457	
208	-0.00387005	0.00179679	
208.2	-0.00397464	0.00180901	
208.4	-0.00386759	0.00182121	
208.6	-0.00376848	0.00183341	
208.8	-0.00326019	0.0018456	
209	-0.00284906	0.00185778	
209.2	-0.00221528	0.00186995	
209.4	-0.00157182	0.00188212	
209.6	-0.0019688	0.00189427	
209.8	-0.00166262	0.00190642	
210	-0.00240239	0.00191856	
210.2	-0.00227038	0.00193069	
210.4	-0.00178388	0.00194281	
210.6	-0.00144973	0.00195492	
210.8	-0.00174553	0.00196703	
211	-0.00190713	0.00197912	
211.2	-0.00245597	0.00199121	
211.4	-0.00306769	0.00200329	
211.6	-0.00350026	0.00201536	
211.8	-0.00315138	0.00202742	
212	-0.00303031	0.00203948	
212.2	-0.00253653	0.00205152	
212.4	-0.00184264	0.00206356	
212.6	-0.00129305	0.00207559	
212.8	-0.00079598	0.00208761	
213	-0.00055799	0.00209962	
213.2	0.00019985	0.00211162	
213.4	0.00049701	0.00212362	
213.6	0.00012539	0.00213561	
213.8	0.00056867	0.00214759	
214	0.00040533	0.00215956	
214.2	0.0006849	0.00217152	
214.4	0.00034052	0.00218347	
214.6	0.00014836	0.00219542	
214.8	-0.00045221	0.00220736	
215	-0.00053427	0.00221928	
215.2	-0.00130066	0.0022312	
215.4	-0.00181956	0.00224312	
215.6	-0.00216563	0.00225502	
215.8	-0.00189426	0.00226692	
216	-0.00220713	0.0022788	
216.2	-0.00201358	0.00229068	
216.4	-0.00200142	0.00230255	
216.6	-0.00224541	0.00231442	
216.8	-0.00232533	0.00232627	
217	-0.00245619	0.00233812	
217.2	-0.00200398	0.00234995	
217.4	-0.0022055	0.00236178	
217.6	-0.00239546	0.00237361	
217.8	-0.0024204	0.00238542	
218	-0.00287584	0.00239722	
218.2	-0.00304641	0.00240902	
218.4	-0.00314747	0.00242081	
218.6	-0.00321276	0.00243259	
218.8	-0.00240074	0.00244436	
219	-0.00187842	0.00245613	
219.2	-0.00202337	0.00246788	
219.4	-0.00179635	0.00247963	
219.6	-0.00123751	0.00249137	
219.8	-0.00094933	0.0025031	
220	-0.00120003	0.00251482	
220.2	-0.00093623	0.00252654	
220.4	-0.00127807	0.00253824	
220.6	-0.00157316	0.00254994	
220.8	-0.001518	0.00256163	
221	-0.00111586	0.00257331	
221.2	-0.0007272	0.00258499	
221.4	-0.00106871	0.00259665	
221.6	-0.00161616	0.00260831	
221.8	-0.0023854	0.00261996	
222	-0.0022076	0.0026316	
222.2	-0.00235474	0.00264324	
222.4	-0.00240463	0.00265486	
222.6	-0.00203195	0.00266648	
222.8	-0.00140774	0.00267809	
223	-0.00204814	0.00268969	
223.2	-0.00217326	0.00270128	
223.4	-0.0022094	0.00271287	
223.6	-0.0025211	0.00272445	
223.8	-0.00293048	0.00273602	
224	-0.00280597	0.00274758	
224.2	-0.0028157	0.00275913	
224.4	-0.00287366	0.00277067	
224.6	-0.00280909	0.00278221	
224.8	-0.00240852	0.00279374	
225	-0.00239535	0.00280526	
225.2	-0.00216978	0.00281677	
225.4	-0.00233558	0.00282828	
225.6	-0.00253896	0.00283977	
225.8	-0.00222967	0.00285126	
226	-0.0016952	0.00286274	
226.2	-0.00200746	0.00287422	
226.4	-0.00189632	0.00288568	
226.6	-0.00146705	0.00289714	
226.8	-0.00154193	0.00290859	
227	-0.00138697	0.00292003	
227.2	-0.0012282	0.00293146	
227.4	-0.0010151	0.00294289	
227.6	-0.0008999	0.0029543	
227.8	-0.00016532	0.00296571	
228	-0.00004942	0.00297711	
228.2	0.00001351	0.00298851	
228.4	-0.00009624	0.00299989	
228.6	0.00001723	0.00301127	
228.8	0.00014742	0.00302264	
229	0.00006464	0.003034	
229.2	0.00071477	0.00304535	
229.4	0.00082691	0.0030567	
229.6	0.00079051	0.00306803	
229.8	0.00070502	0.00307936	
230	0.00047643	0.00309069	
230.2	0.00037984	0.003102	
230.4	0.00037756	0.00311331	
230.6	0.00064569	0.00312461	
230.8	0.00035526	0.0031359	
231	0.0005147	0.00314718	
231.2	0.00065258	0.00315845	
231.4	0.00070609	0.00316972	
231.6	0.00056346	0.00318098	
231.8	0.00047991	0.00319223	
232	0.00019297	0.00320347	
232.2	0.00044187	0.00321471	
232.4	0.00003795	0.00322594	
232.6	-0.00012208	0.00323716	
232.8	-0.00017141	0.00324837	
233	-0.00032801	0.00325957	
233.2	-0.00029185	0.00327077	
233.4	-0.00049404	0.00328196	
233.6	-0.00044115	0.00329314	
233.8	-0.00083637	0.00330431	
234	-0.0004891	0.00331548	
234.2	-0.00022222	0.00332664	
234.4	-0.00008937	0.00333778	
234.6	0.00000864	0.00334893	
234.8	0.00042023	0.00336006	
235	0.00086605	0.00337119	
235.2	0.00087326	0.00338231	
235.4	0.00064144	0.00339342	
235.6	0.00070373	0.00340452	
235.8	0.00095387	0.00341562	
236	0.0006793	0.0034267	
