Conc1	1E-07	
Start1	180	
Stop1	299.8	
Kobs	0.0972439915747857	
Error Kobs	0.00132414856037619	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.0013568	0	
180.2	0.00250819	0.0010882	
180.4	0.00281163	0.00214864	
180.6	0.00358333	0.00318203	
180.8	0.00458865	0.00418904	
181	0.00556308	0.00517036	
181.2	0.00675425	0.00612665	
181.4	0.0075209	0.00705853	
181.6	0.00839165	0.00796664	
181.8	0.00927617	0.00885158	
182	0.01002542	0.00971394	
182.2	0.0105984	0.0105543	
182.4	0.01144908	0.01137322	
182.6	0.01204658	0.01217124	
182.8	0.01257525	0.0129489	
183	0.01336101	0.01370672	
183.2	0.01488043	0.0144452	
183.4	0.01583186	0.01516485	
183.6	0.01749081	0.01586613	
183.8	0.0179757	0.01654952	
184	0.01868438	0.01721547	
184.2	0.01948004	0.01786443	
184.4	0.01923764	0.01849683	
184.6	0.02001674	0.0191131	
184.8	0.02079856	0.01971364	
185	0.02116343	0.02029886	
185.2	0.02177411	0.02086915	
185.4	0.02173955	0.02142489	
185.6	0.02196292	0.02196645	
185.8	0.02229713	0.02249419	
186	0.02257477	0.02300847	
186.2	0.02297471	0.02350962	
186.4	0.02333885	0.02399799	
186.6	0.02337471	0.0244739	
186.8	0.02414766	0.02493766	
187	0.02449475	0.0253896	
187.2	0.02523555	0.02583	
187.4	0.02565311	0.02625916	
187.6	0.02543315	0.02667738	
187.8	0.02615109	0.02708492	
188	0.02624169	0.02748207	
188.2	0.02639157	0.02786908	
188.4	0.0268265	0.02824622	
188.6	0.02724377	0.02861374	
188.8	0.02800967	0.02897188	
189	0.02842044	0.02932088	
189.2	0.02858392	0.02966098	
189.4	0.02870615	0.0299924	
189.6	0.02911442	0.03031536	
189.8	0.02968811	0.03063009	
190	0.03064093	0.03093678	
190.2	0.03100815	0.03123565	
190.4	0.03176732	0.03152689	
190.6	0.0318258	0.0318107	
190.8	0.03181717	0.03208727	
191	0.03205323	0.03235679	
191.2	0.03227719	0.03261943	
191.4	0.03282651	0.03287536	
