Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.0972439915747857	
Error Kobs	0.00132414856037619	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.0026987	0	
180.2	0.00313299	0.00027633	
180.4	0.0030684	0.0005469	
180.6	0.00342055	0.00081183	
180.8	0.00350857	0.00107125	
181	0.00358055	0.00132526	
181.2	0.00391847	0.00157398	
181.4	0.00451359	0.00181753	
181.6	0.00523131	0.002056	
181.8	0.00535411	0.0022895	
182	0.00581263	0.00251814	
182.2	0.00627711	0.00274202	
182.4	0.00674162	0.00296123	
182.6	0.00644641	0.00317588	
182.8	0.00652945	0.00338606	
183	0.00654001	0.00359186	
183.2	0.00732734	0.00379337	
183.4	0.00734954	0.00399069	
183.6	0.00787704	0.0041839	
183.8	0.00805546	0.00437308	
184	0.00802328	0.00455832	
184.2	0.00785003	0.00473971	
184.4	0.0070475	0.00491731	
184.6	0.00666895	0.00509122	
184.8	0.00643664	0.00526151	
185	0.00636963	0.00542825	
185.2	0.00664794	0.00559151	
185.4	0.00680069	0.00575138	
185.6	0.00690134	0.00590791	
185.8	0.00682487	0.00606119	
186	0.00743114	0.00621127	
186.2	0.00791849	0.00635823	
186.4	0.00796535	0.00650212	
186.6	0.00735818	0.00664302	
186.8	0.00839328	0.00678099	
187	0.00854835	0.00691608	
187.2	0.0091742	0.00704835	
187.4	0.00891038	0.00717788	
187.6	0.00863151	0.0073047	
187.8	0.0091205	0.00742888	
188	0.00857091	0.00755048	
188.2	0.0082473	0.00766954	
188.4	0.00817467	0.00778613	
188.6	0.00794198	0.00790028	
188.8	0.00900465	0.00801206	
189	0.00929021	0.00812151	
189.2	0.00950027	0.00822868	
189.4	0.00954916	0.00833362	
189.6	0.01008203	0.00843637	
189.8	0.01081522	0.00853699	
190	0.01128609	0.0086355	
190.2	0.01139298	0.00873197	
190.4	0.01132329	0.00882642	
190.6	0.01081166	0.00891891	
190.8	0.01147409	0.00900947	
191	0.011412	0.00909815	
191.2	0.01149531	0.00918498	
191.4	0.01141923	0.00927	
191.6	0.01111899	0.00935325	
191.8	0.01135038	0.00943476	
192	0.01129818	0.00951458	
192.2	0.01105067	0.00959274	
192.4	0.0116061	0.00966926	
192.6	0.01135407	0.0097442	
192.8	0.0115044	0.00981757	
193	0.01145179	0.00988942	
193.2	0.01116076	0.00995976	
193.4	0.01152249	0.01002865	
193.6	0.01196634	0.0100961	
193.8	0.01203334	0.01016214	
194	0.011702	0.01022681	
194.2	0.01152921	0.01029013	
194.4	0.01137849	0.01035213	
194.6	0.01111514	0.01041284	
194.8	0.01167856	0.01047229	
195	0.01171789	0.0105305	
195.2	0.01094431	0.01058749	
195.4	0.01089778	0.0106433	
195.6	0.01070044	0.01069795	
195.8	0.01096331	0.01075146	
196	0.01124646	0.01080385	
196.2	0.01075238	0.01085515	
196.4	0.01121587	0.01090539	
196.6	0.01094676	0.01095457	
196.8	0.01061366	0.01100274	
197	0.01107186	0.0110499	
197.2	0.01132308	0.01109607	
197.4	0.01188719	0.01114129	
197.6	0.01196756	0.01118557	
197.8	0.0117109	0.01122892	
198	0.01134026	0.01127137	
198.2	0.01131797	0.01131293	
198.4	0.01106181	0.01135363	
198.6	0.01126412	0.01139348	
198.8	0.01122379	0.0114325	
199	0.01106343	0.01147071	
199.2	0.01087954	0.01150813	
199.4	0.01179574	0.01154476	
199.6	0.01228602	0.01158063	
199.8	0.01279481	0.01161575	
200	0.01325828	0.01165015	
200.2	0.01350328	0.01168382	
200.4	0.013793	0.0117168	
200.6	0.01365772	0.01174908	
200.8	0.01300863	0.0117807	
201	0.01306573	0.01181166	
201.2	0.01317506	0.01184197	
201.4	0.01249405	0.01187165	
201.6	0.01203942	0.01190071	
201.8	0.01145746	0.01192917	
202	0.01136213	0.01195703	
202.2	0.01141174	0.01198432	
202.4	0.01121674	0.01201103	
202.6	0.01177897	0.01203719	
202.8	0.01189643	0.01206281	
203	0.01222102	0.01208789	
203.2	0.01302071	0.01211244	
203.4	0.01328438	0.01213649	
203.6	0.01348302	0.01216004	
203.8	0.01381576	0.01218309	
204	0.01412572	0.01220567	
204.2	0.01447094	0.01222777	
204.4	0.01435884	0.01224942	
204.6	0.01418231	0.01227061	
204.8	0.01382692	0.01229137	
205	0.01346545	0.01231169	
205.2	0.01342325	0.01233158	
205.4	0.01283339	0.01235107	
205.6	0.01252916	0.01237014	
205.8	0.01249318	0.01238882	
206	0.01285139	0.01240711	
206.2	0.01236519	0.01242502	
206.4	0.01199735	0.01244256	
206.6	0.01189197	0.01245973	
206.8	0.01193758	0.01247655	
207	0.01152889	0.01249301	
207.2	0.01192244	0.01250913	
207.4	0.0115664	0.01252491	
207.6	0.01130392	0.01254037	
207.8	0.01162502	0.0125555	
208	0.01198778	0.01257032	
208.2	0.01229058	0.01258483	
208.4	0.01201807	0.01259904	
208.6	0.01196396	0.01261295	
208.8	0.01213517	0.01262658	
209	0.01181864	0.01263992	
209.2	0.01220836	0.01265298	
