Conc1	2E-07	
Start1	180	
Stop1	299.8	
Kobs	0.119014237372356	
Error Kobs	0.0015832293296416	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.01238284	0	
180.2	0.01392001	0.00344543	
180.4	0.01520435	0.00675435	
180.6	0.0172004	0.00993218	
180.8	0.01929482	0.01298409	
181	0.02123784	0.01591509	
181.2	0.02318397	0.01872996	
181.4	0.02534856	0.02143331	
181.6	0.02766898	0.02402954	
181.8	0.0300356	0.02652292	
182	0.03257931	0.02891751	
182.2	0.03460605	0.03121722	
182.4	0.03600138	0.03342582	
182.6	0.03774807	0.03554691	
182.8	0.03936363	0.03758396	
183	0.04097505	0.03954031	
183.2	0.04269133	0.04141914	
183.4	0.04396119	0.04322353	
183.6	0.04579014	0.04495644	
183.8	0.04743576	0.04662068	
184	0.04912998	0.04821899	
184.2	0.05082743	0.04975397	
184.4	0.0521944	0.05122814	
184.6	0.05359395	0.0526439	
184.8	0.0551278	0.05400357	
185	0.05593848	0.05530936	
185.2	0.05720412	0.05656342	
185.4	0.05864387	0.0577678	
185.6	0.05958847	0.05892445	
185.8	0.06022126	0.06003528	
186	0.06114221	0.0611021	
186.2	0.06133126	0.06212665	
186.4	0.0618675	0.06311061	
186.6	0.06255607	0.06405558	
186.8	0.06332075	0.06496311	
187	0.0635122	0.06583469	
187.2	0.06458914	0.06667173	
187.4	0.06506587	0.06747561	
187.6	0.06595319	0.06824764	
187.8	0.06616637	0.06898908	
188	0.0663697	0.06970115	
188.2	0.06723084	0.070385	
188.4	0.06807332	0.07104176	
188.6	0.06878688	0.0716725	
188.8	0.07008776	0.07227825	
189	0.07042295	0.07286	
189.2	0.07150956	0.0734187	
189.4	0.07214477	0.07395526	
189.6	0.07223154	0.07447057	
189.8	0.07238204	0.07496545	
190	0.07310579	0.07544073	
190.2	0.07362738	0.07589718	
190.4	0.07455571	0.07633555	
190.6	0.07461331	0.07675655	
190.8	0.07517931	0.07716086	
191	0.07520452	0.07754916	
191.2	0.07584201	0.07792208	
191.4	0.07583728	0.07828021	
191.6	0.07645767	0.07862416	
191.8	0.07583937	0.07895448	
192	0.0764466	0.07927172	
192.2	0.07774168	0.07957638	
192.4	0.0781925	0.07986898	
192.6	0.0789372	0.08014998	
192.8	0.07985692	0.08041985	
193	0.07997305	0.08067902	
193.2	0.08056675	0.08092793	
193.4	0.08119684	0.08116698	
193.6	0.08124362	0.08139655	
193.8	0.08126675	0.08161703	
194	0.08125722	0.08182877	
194.2	0.08140781	0.08203213	
194.4	0.08145403	0.08222743	
194.6	0.08150366	0.08241499	
194.8	0.08226037	0.08259511	
195	0.08251594	0.08276811	
195.2	0.08273887	0.08293424	
195.4	0.0825093	0.0830938	
195.6	0.08268741	0.08324703	
195.8	0.08228322	0.08339419	
196	0.08303529	0.08353553	
196.2	0.08310074	0.08367126	
196.4	0.08327837	0.08380161	
196.6	0.08404866	0.0839268	
196.8	0.08447813	0.08404703	
197	0.08392998	0.0841625	
197.2	0.08427767	0.08427339	
197.4	0.0840351	0.08437989	
197.6	0.08386484	0.08448217	
197.8	0.08357881	0.08458039	
198	0.08372582	0.08467473	
198.2	0.08457969	0.08476532	
198.4	0.08512091	0.08485233	
198.6	0.08564093	0.08493589	
198.8	0.08599593	0.08501614	
199	0.0859397	0.08509321	
199.2	0.08531561	0.08516723	
199.4	0.08485023	0.08523831	
199.6	0.08495525	0.08530658	
199.8	0.08478118	0.08537214	
200	0.08488113	0.0854351	
200.2	0.08464251	0.08549557	
200.4	0.08446309	0.08555365	
200.6	0.08475734	0.08560942	
200.8	0.08449123	0.08566299	
201	0.08395793	0.08571443	
201.2	0.08402974	0.08576383	
201.4	0.08370601	0.08581128	
201.6	0.08427011	0.08585684	
201.8	0.08417852	0.08590061	
202	0.08501677	0.08594263	
202.2	0.08517469	0.08598299	
202.4	0.08530786	0.08602176	
202.6	0.08541189	0.08605898	
202.8	0.08573688	0.08609474	
203	0.08573694	0.08612907	
203.2	0.08582406	0.08616205	
203.4	0.08601696	0.08619372	
203.6	0.08668847	0.08622413	
203.8	0.08636376	0.08625334	
204	0.08624654	0.08628139	
204.2	0.08601351	0.08630833	
204.4	0.08601054	0.0863342	
204.6	0.08647248	0.08635905	
204.8	0.08616884	0.08638291	
205	0.08610417	0.08640583	
205.2	0.08632266	0.08642784	
205.4	0.08619192	0.08644898	
205.6	0.08659294	0.08646928	
205.8	0.08599297	0.08648878	
206	0.08660091	0.0865075	
206.2	0.08640832	0.08652548	
206.4	0.08683067	0.08654275	
206.6	0.08660209	0.08655934	
206.8	0.08624919	0.08657526	
207	0.08620322	0.08659056	
207.2	0.0860513	0.08660525	
207.4	0.08589677	0.08661936	
207.6	0.08593595	0.08663291	
207.8	0.08528694	0.08664592	
208	0.08526764	0.08665842	
208.2	0.0855036	0.08667042	
208.4	0.08548046	0.08668195	
208.6	0.0856974	0.08669302	
208.8	0.08567298	0.08670365	
209	0.0859901	0.08671386	
209.2	0.08593402	0.08672367	
209.4	0.08635475	0.08673308	
209.6	0.0867914	0.08674213	
209.8	0.08644545	0.08675081	
210	0.08703945	0.08675916	
210.2	0.08719196	0.08676717	
210.4	0.08694848	0.08677486	
210.6	0.08675988	0.08678225	
210.8	0.08676162	0.08678935	
211	0.08692783	0.08679616	
211.2	0.08659774	0.08680271	
211.4	0.08674373	0.08680899	
211.6	0.08674354	0.08681503	
211.8	0.08665348	0.08682083	
212	0.08704122	0.08682639	
212.2	0.0870038	0.08683174	
212.4	0.0865937	0.08683688	
212.6	0.0866994	0.08684181	
212.8	0.08647858	0.08684654	
213	0.08574366	0.08685109	
213.2	0.0850952	0.08685546	
213.4	0.08510688	0.08685966	
213.6	0.08441443	0.08686369	
213.8	0.08411423	0.08686756	
214	0.08468438	0.08687127	
214.2	0.08498216	0.08687484	
214.4	0.08459986	0.08687827	
214.6	0.08516802	0.08688156	
214.8	0.08538817	0.08688472	
215	0.08601139	0.08688776	
215.2	0.0861213	0.08689067	
215.4	0.08726704	0.08689347	
215.6	0.0877923	0.08689616	
215.8	0.08787242	0.08689875	
216	0.08848036	0.08690123	
216.2	0.08877246	0.08690361	
216.4	0.0890696	0.0869059	
216.6	0.08930784	0.08690809	
216.8	0.08935831	0.0869102	
217	0.08868978	0.08691223	
217.2	0.08858459	0.08691418	
217.4	0.08880081	0.08691605	
217.6	0.08848003	0.08691784	
