Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.119014237372356	
Error Kobs	0.0015832293296416	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.0008835	0	
180.2	0.00158721	0.00022735	
180.4	0.00218849	0.00044889	
180.6	0.00296583	0.00066477	
180.8	0.00374862	0.00087513	
181	0.00435291	0.00108012	
181.2	0.0048085	0.00127988	
181.4	0.00474247	0.00147452	
181.6	0.0048765	0.0016642	
181.8	0.00525491	0.00184903	
182	0.00548338	0.00202914	
182.2	0.00491804	0.00220465	
182.4	0.00436476	0.00237567	
182.6	0.00449351	0.00254232	
182.8	0.00466403	0.00270472	
183	0.00469595	0.00286296	
183.2	0.00510517	0.00301717	
183.4	0.00500121	0.00316743	
183.6	0.00548453	0.00331385	
183.8	0.00561254	0.00345654	
184	0.00522359	0.00359558	
184.2	0.00585145	0.00373106	
184.4	0.00607723	0.00386309	
184.6	0.00637609	0.00399174	
184.8	0.00686851	0.0041171	
185	0.00682447	0.00423926	
185.2	0.00647008	0.0043583	
185.4	0.006408	0.0044743	
185.6	0.00653328	0.00458734	
185.8	0.0064743	0.00469749	
186	0.00614304	0.00480482	
186.2	0.00554891	0.00490941	
186.4	0.00554005	0.00501133	
186.6	0.00566884	0.00511065	
186.8	0.00517499	0.00520742	
187	0.00494915	0.00530173	
187.2	0.00487617	0.00539362	
187.4	0.00447945	0.00548317	
187.6	0.00467514	0.00557043	
187.8	0.00456524	0.00565546	
188	0.00440479	0.00573832	
188.2	0.00534208	0.00581906	
188.4	0.00529174	0.00589774	
188.6	0.00566773	0.00597441	
188.8	0.00617139	0.00604912	
189	0.00627268	0.00612192	
189.2	0.00641432	0.00619286	
189.4	0.00692121	0.00626199	
189.6	0.00645332	0.00632935	
189.8	0.00647631	0.00639499	
190	0.00683561	0.00645896	
190.2	0.00701356	0.00652129	
190.4	0.0075457	0.00658203	
190.6	0.00769505	0.00664121	
190.8	0.00784807	0.00669889	
191	0.0078577	0.00675509	
191.2	0.00775396	0.00680985	
