Conc1	1E-07	
Start1	180	
Stop1	299.8	
Kobs	0.160254346373664	
Error Kobs	0.00476235904646268	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.00466791	0	
180.2	0.00418002	0.00082508	
180.4	0.00343883	0.00162295	
180.6	0.00274452	0.0023945	
180.8	0.00241365	0.00314059	
181	0.00251232	0.00386207	
181.2	0.00317785	0.00455976	
181.4	0.0036074	0.00523442	
181.6	0.00411397	0.00588684	
181.8	0.00508184	0.00651773	
182	0.00609264	0.0071278	
182.2	0.00689717	0.00771776	
182.4	0.0075663	0.00828825	
182.6	0.0081958	0.00883993	
182.8	0.0093114	0.0093734	
183	0.01023205	0.00988928	
183.2	0.01141073	0.01038814	
183.4	0.01171809	0.01087054	
183.6	0.01226356	0.01133703	
183.8	0.01291853	0.01178813	
184	0.01308998	0.01222435	
184.2	0.01310043	0.01264618	
184.4	0.0130479	0.0130541	
184.6	0.01316212	0.01344856	
184.8	0.0141584	0.01383001	
185	0.01471307	0.01419887	
185.2	0.01523052	0.01455557	
185.4	0.01533331	0.0149005	
185.6	0.01575662	0.01523405	
185.8	0.01648231	0.01555659	
186	0.01674493	0.0158685	
186.2	0.016822	0.01617012	
186.4	0.01706306	0.01646179	
186.6	0.0170523	0.01674384	
186.8	0.01776964	0.01701658	
187	0.01754222	0.01728033	
187.2	0.01821786	0.01753537	
187.4	0.01889818	0.01778201	
187.6	0.01958045	0.0180205	
187.8	0.02007571	0.01825113	
188	0.02007593	0.01847416	
188.2	0.01971774	0.01868982	
188.4	0.01961627	0.01889837	
188.6	0.019829	0.01910004	
188.8	0.0202479	0.01929506	
189	0.01998855	0.01948364	
189.2	0.01964976	0.01966601	
189.4	0.0192776	0.01984236	
189.6	0.01931945	0.02001289	
189.8	0.01945727	0.02017779	
190	0.01959232	0.02033726	
190.2	0.01971579	0.02049146	
190.4	0.01927302	0.02064058	
190.6	0.01902183	0.02078478	
190.8	0.01940929	0.02092422	
191	0.01940423	0.02105907	
191.2	0.02027646	0.02118946	
191.4	0.02091838	0.02131555	
191.6	0.02196559	0.02143749	
191.8	0.02212802	0.0215554	
192	0.02225911	0.02166942	
192.2	0.02212129	0.02177968	
192.4	0.0216872	0.0218863	
192.6	0.02232047	0.02198941	
192.8	0.0221554	0.02208911	
193	0.02241499	0.02218553	
193.2	0.02247733	0.02227876	
193.4	0.02204029	0.02236892	
193.6	0.02220454	0.02245611	
193.8	0.02286321	0.02254042	
194	0.02258534	0.02262195	
194.2	0.02293442	0.02270079	
194.4	0.02257923	0.02277702	
194.6	0.02258139	0.02285075	
194.8	0.02279486	0.02292204	
195	0.02329628	0.02299098	
195.2	0.02381644	0.02305764	
195.4	0.02387501	0.02312211	
195.6	0.02468464	0.02318445	
195.8	0.02424465	0.02324473	
196	0.02402237	0.02330303	
196.2	0.02376244	0.0233594	
196.4	0.02376996	0.02341391	
196.6	0.02425032	0.02346662	
196.8	0.02432619	0.0235176	
197	0.02472542	0.02356689	
197.2	0.02455561	0.02361456	
197.4	0.02419768	0.02366065	
197.6	0.02390313	0.02370523	
197.8	0.02394259	0.02374833	
198	0.02299006	0.02379001	
198.2	0.02319227	0.02383032	
198.4	0.02305967	0.0238693	
198.6	0.02300526	0.02390699	
198.8	0.02381756	0.02394344	
199	0.0243547	0.02397868	
199.2	0.02408352	0.02401277	
199.4	0.02454742	0.02404573	
199.6	0.02516819	0.0240776	
199.8	0.02521495	0.02410842	
200	0.02554276	0.02413822	
200.2	0.02559807	0.02416704	
200.4	0.02555421	0.02419491	
200.6	0.0256686	0.02422186	
200.8	0.02593365	0.02424792	
201	0.02669197	0.02427312	
201.2	0.02638217	0.02429749	
201.4	0.02600546	0.02432106	
201.6	0.0251254	0.02434385	
201.8	0.02427982	0.02436589	
202	0.02379383	0.0243872	
202.2	0.02378261	0.0244078	
202.4	0.02406933	0.02442773	
202.6	0.02426356	0.024447	
202.8	0.02506317	0.02446564	
203	0.02496229	0.02448366	
203.2	0.02493687	0.02450108	
203.4	0.02522458	0.02451793	
203.6	0.02514381	0.02453423	
203.8	0.02467997	0.02454998	
204	0.02463462	0.02456522	
204.2	0.02438485	0.02457996	
204.4	0.02413038	0.0245942	
204.6	0.02444668	0.02460798	
204.8	0.02532378	0.02462131	
205	0.02582701	0.02463419	
205.2	0.02538848	0.02464665	
205.4	0.02549373	0.0246587	
205.6	0.02532403	0.02467035	
205.8	0.02506592	0.02468162	
206	0.02572752	0.02469251	
206.2	0.02608184	0.02470305	
206.4	0.02614789	0.02471324	
206.6	0.02634985	0.02472309	
206.8	0.02644624	0.02473262	
207	0.02556489	0.02474183	
207.2	0.02549152	0.02475074	
207.4	0.0251289	0.02475935	
207.6	0.02476586	0.02476768	
207.8	0.02420532	0.02477574	
208	0.02460374	0.02478353	
208.2	0.02433092	0.02479106	
208.4	0.02401354	0.02479835	
208.6	0.02454604	0.02480539	
208.8	0.02528451	0.0248122	
209	0.02527528	0.02481879	
209.2	0.02553017	0.02482516	
209.4	0.02578721	0.02483132	
209.6	0.02595299	0.02483728	
209.8	0.02658876	0.02484304	
210	0.02702697	0.02484861	
210.2	0.02690046	0.02485399	
210.4	0.02724747	0.0248592	
210.6	0.02720796	0.02486424	
210.8	0.02712006	0.02486911	
211	0.02658253	0.02487382	
211.2	0.02666516	0.02487838	
211.4	0.02582593	0.02488278	
211.6	0.02515896	0.02488704	
211.8	0.02490003	0.02489116	
212	0.02478895	0.02489514	
212.2	0.02389196	0.02489899	
212.4	0.02385793	0.02490272	
212.6	0.02400844	0.02490632	
212.8	0.02396027	0.0249098	
213	0.02418104	0.02491317	
213.2	0.02464825	0.02491643	
213.4	0.02501131	0.02491957	
213.6	0.02491684	0.02492262	
213.8	0.02494653	0.02492556	
214	0.02520457	0.02492841	
214.2	0.02570725	0.02493117	
214.4	0.02643943	0.02493383	
214.6	0.02613764	0.0249364	
214.8	0.02617334	0.02493889	
215	0.02604585	0.0249413	
215.2	0.02522972	0.02494363	
215.4	0.02420963	0.02494588	
215.6	0.02423028	0.02494806	
215.8	0.02401938	0.02495017	
216	0.02410825	0.0249522	
216.2	0.02410632	0.02495417	
216.4	0.02455622	0.02495608	
216.6	0.02512958	0.02495792	
216.8	0.02526811	0.0249597	
217	0.02572146	0.02496142	
217.2	0.0257485	0.02496308	
217.4	0.02539141	0.02496469	
217.6	0.02518347	0.02496625	
217.8	0.02535514	0.02496776	
218	0.02582012	0.02496921	
218.2	0.02594229	0.02497062	
218.4	0.02571878	0.02497198	
218.6	0.02553584	0.0249733	
218.8	0.02563425	0.02497457	
219	0.02556524	0.0249758	
219.2	0.02511891	0.02497699	
219.4	0.02520859	0.02497815	
219.6	0.02548038	0.02497926	
219.8	0.02506187	0.02498034	
220	0.02556912	0.02498138	
220.2	0.02611608	0.02498238	
220.4	0.02616291	0.02498336	
220.6	0.0259072	0.0249843	
220.8	0.02544703	0.02498521	
221	0.02566278	0.02498609	
221.2	0.02524913	0.02498694	
221.4	0.0251993	0.02498776	
221.6	0.02521757	0.02498856	
221.8	0.02494513	0.02498933	
222	0.02450729	0.02499007	
222.2	0.0242974	0.02499079	
222.4	0.02426575	0.02499149	
222.6	0.02442353	0.02499216	
222.8	0.0242556	0.02499281	
223	0.02425696	0.02499344	
223.2	0.02426964	0.02499405	
223.4	0.02422726	0.02499464	
223.6	0.024351	0.02499521	
223.8	0.02445301	0.02499576	
224	0.02460828	0.02499629	
224.2	0.02459038	0.02499681	
224.4	0.02432911	0.0249973	
224.6	0.02395579	0.02499779	
224.8	0.02445346	0.02499825	
225	0.0253021	0.0249987	
225.2	0.0253631	0.02499914	
225.4	0.02616198	0.02499956	
225.6	0.0259858	0.02499996	
225.8	0.02599744	0.02500036	
226	0.02583892	0.02500074	
226.2	0.02604005	0.02500111	
226.4	0.02575749	0.02500146	
226.6	0.02551428	0.02500181	
226.8	0.02517443	0.02500214	
227	0.02542251	0.02500246	
227.2	0.02525216	0.02500277	
227.4	0.02511541	0.02500307	
227.6	0.02537162	0.02500336	
227.8	0.02441268	0.02500365	
228	0.02464985	0.02500392	
228.2	0.02491187	0.02500418	
228.4	0.02485939	0.02500443	
228.6	0.02505658	0.02500468	
228.8	0.02527605	0.02500492	
229	0.02579661	0.02500515	
229.2	0.02533695	0.02500537	
229.4	0.02482213	0.02500559	
229.6	0.02406987	0.02500579	
229.8	0.02440577	0.025006	
230	0.02462346	0.02500619	
230.2	0.02468883	0.02500638	
230.4	0.02414533	0.02500656	
230.6	0.02411889	0.02500674	
230.8	0.02442382	0.02500691	
231	0.02465929	0.02500707	
231.2	0.02493506	0.02500723	
231.4	0.02514152	0.02500738	
231.6	0.02532781	0.02500753	
231.8	0.02540273	0.02500768	
232	0.02605391	0.02500782	
232.2	0.02570117	0.02500795	
232.4	0.02544927	0.02500808	
232.6	0.02488545	0.02500821	
232.8	0.02450678	0.02500833	
233	0.02439459	0.02500845	
