Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.160254346373664	
Error Kobs	0.00476235904646268	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.00269497	0	
180.2	0.00233098	0.00015936	
180.4	0.00177145	0.00031363	
180.6	0.00125529	0.00046298	
180.8	0.00069293	0.00060757	
181	0.00034414	0.00074755	
181.2	0.00038043	0.00088305	
181.4	-0.00004061	0.00101424	
181.6	-0.00011471	0.00114124	
181.8	0.0001018	0.00126419	
182	0.00015735	0.00138321	
182.2	0.00032188	0.00149844	
182.4	0.00065915	0.00160999	
182.6	0.00068631	0.00171798	
182.8	0.00197824	0.00182253	
183	0.00232344	0.00192374	
183.2	0.00320792	0.00202173	
183.4	0.00354254	0.00211658	
183.6	0.0033281	0.00220841	
183.8	0.00403978	0.00229731	
184	0.0039116	0.00238338	
184.2	0.00420542	0.0024667	
184.4	0.00439828	0.00254736	
184.6	0.00397269	0.00262544	
184.8	0.00444676	0.00270104	
185	0.00447403	0.00277422	
185.2	0.00444017	0.00284507	
185.4	0.00418035	0.00291366	
185.6	0.00433245	0.00298006	
185.8	0.00438789	0.00304434	
186	0.00432449	0.00310657	
186.2	0.00420643	0.00316682	
186.4	0.00408434	0.00322514	
186.6	0.00374031	0.00328161	
186.8	0.00440137	0.00333627	
187	0.00367307	0.00338919	
187.2	0.00429769	0.00344041	
187.4	0.00512021	0.00349001	
187.6	0.00499478	0.00353802	
187.8	0.005518	0.0035845	
188	0.00510731	0.0036295	
188.2	0.00542299	0.00367306	
188.4	0.0052333	0.00371523	
188.6	0.00545463	0.00375606	
188.8	0.00604544	0.00379559	
189	0.00549923	0.00383385	
189.2	0.00483135	0.00387089	
189.4	0.00449478	0.00390675	
189.6	0.0039523	0.00394147	
189.8	0.00359919	0.00397508	
190	0.00332315	0.00400761	
190.2	0.00311351	0.00403911	
190.4	0.00271677	0.00406961	
190.6	0.00205372	0.00409913	
190.8	0.00229776	0.00412771	
191	0.00212706	0.00415537	
191.2	0.00332673	0.00418216	
191.4	0.0039391	0.00420809	
191.6	0.00434965	0.00423319	
191.8	0.00485605	0.00425749	
192	0.00507253	0.00428102	
192.2	0.00555669	0.0043038	
192.4	0.00552796	0.00432585	
192.6	0.00630137	0.00434719	
192.8	0.00565618	0.00436786	
193	0.00537779	0.00438786	
193.2	0.00545375	0.00440723	
193.4	0.00519101	0.00442598	
193.6	0.00464994	0.00444413	
193.8	0.00497271	0.0044617	
194	0.00438516	0.00447871	
194.2	0.00462986	0.00449518	
194.4	0.0042178	0.00451112	
194.6	0.00380747	0.00452656	
194.8	0.00428075	0.0045415	
195	0.00475278	0.00455597	
195.2	0.00524233	0.00456997	
195.4	0.00552819	0.00458353	
195.6	0.00616622	0.00459665	
195.8	0.00641681	0.00460936	
196	0.00633084	0.00462166	
196.2	0.00666012	0.00463357	
196.4	0.00688114	0.0046451	
196.6	0.00729128	0.00465626	
196.8	0.00718423	0.00466706	
197	0.00729819	0.00467752	
197.2	0.00744606	0.00468765	
197.4	0.00686713	0.00469745	
197.6	0.00615052	0.00470694	
197.8	0.00625184	0.00471613	
198	0.00534644	0.00472502	
198.2	0.00507816	0.00473363	
198.4	0.00461968	0.00474197	
198.6	0.00394667	0.00475004	
198.8	0.00440005	0.00475785	
199	0.00436434	0.00476541	
199.2	0.00415209	0.00477273	
199.4	0.00457722	0.00477982	
199.6	0.00478731	0.00478668	
199.8	0.00509457	0.00479333	
200	0.0052658	0.00479976	
200.2	0.00535498	0.00480599	
200.4	0.00566884	0.00481201	
200.6	0.00586013	0.00481785	
200.8	0.005866	0.0048235	
201	0.00654382	0.00482897	
201.2	0.00668315	0.00483426	
201.4	0.00664884	0.00483938	
201.6	0.00628506	0.00484435	
201.8	0.00596355	0.00484915	
202	0.00599472	0.0048538	
202.2	0.00617523	0.0048583	
202.4	0.00661328	0.00486266	
202.6	0.00670711	0.00486688	
202.8	0.00771226	0.00487096	
203	0.00739644	0.00487492	
203.2	0.00745457	0.00487875	
203.4	0.00686861	0.00488245	
203.6	0.00704816	0.00488604	
203.8	0.00631853	0.00488951	
204	0.00597503	0.00489288	
204.2	0.00560774	0.00489613	
204.4	0.00532917	0.00489928	
204.6	0.00522129	0.00490233	
204.8	0.00535069	0.00490529	
205	0.00552279	0.00490815	
205.2	0.00487354	0.00491091	
205.4	0.0050668	0.00491359	
205.6	0.00480187	0.00491619	
205.8	0.00494063	0.0049187	
206	0.00577108	0.00492113	
206.2	0.00609685	0.00492348	
206.4	0.00568762	0.00492576	
206.6	0.00569172	0.00492797	
206.8	0.0060193	0.00493011	
207	0.00515273	0.00493217	
207.2	0.00504051	0.00493417	
207.4	0.00478814	0.00493611	
207.6	0.00485901	0.00493799	
207.8	0.00433134	0.0049398	
208	0.0045264	0.00494156	
208.2	0.00462905	0.00494326	
208.4	0.00437725	0.00494491	
208.6	0.0052541	0.00494651	
208.8	0.00606273	0.00494805	
209	0.00622946	0.00494955	
209.2	0.00669662	0.00495099	
209.4	0.0074752	0.00495239	
209.6	0.00742465	0.00495375	
209.8	0.00772702	0.00495506	
210	0.00779917	0.00495633	
210.2	0.00750552	0.00495756	
210.4	0.0071708	0.00495876	
210.6	0.00671793	0.00495991	
210.8	0.00686073	0.00496103	
211	0.00644617	0.00496211	
211.2	0.00604531	0.00496315	
211.4	0.00545653	0.00496417	
211.6	0.00517055	0.00496515	
211.8	0.00498801	0.0049661	
212	0.00482797	0.00496702	
212.2	0.00464767	0.00496791	
212.4	0.00446191	0.00496877	
212.6	0.00506465	0.0049696	
212.8	0.00477268	0.00497041	
213	0.00466886	0.00497119	
213.2	0.00505797	0.00497195	
213.4	0.00532057	0.00497268	
213.6	0.00484614	0.00497339	
213.8	0.00492963	0.00497408	
214	0.00507982	0.00497474	
214.2	0.00509665	0.00497538	
214.4	0.00522941	0.00497601	
214.6	0.00477848	0.00497661	
214.8	0.00570367	0.00497719	
215	0.00550082	0.00497776	
215.2	0.00449093	0.00497831	
215.4	0.00402481	0.00497883	
215.6	0.00419635	0.00497935	
215.8	0.00411275	0.00497984	
216	0.00385278	0.00498032	
216.2	0.0036121	0.00498079	
216.4	0.00329278	0.00498124	
216.6	0.00369239	0.00498168	
216.8	0.00316651	0.0049821	
217	0.00360118	0.00498251	
217.2	0.00356631	0.0049829	
217.4	0.00349829	0.00498329	
217.6	0.00343959	0.00498366	
217.8	0.00354782	0.00498402	
218	0.00394617	0.00498436	
218.2	0.00466157	0.0049847	
218.4	0.00488749	0.00498502	
218.6	0.00492488	0.00498534	
218.8	0.00574049	0.00498565	
219	0.00527936	0.00498594	
219.2	0.00525804	0.00498623	
219.4	0.0055671	0.0049865	
219.6	0.00603173	0.00498677	
219.8	0.0060747	0.00498703	
220	0.00606546	0.00498728	
220.2	0.00639808	0.00498753	
220.4	0.0060183	0.00498776	
220.6	0.0060514	0.00498799	
220.8	0.00551022	0.00498821	
221	0.00529788	0.00498842	
221.2	0.00475985	0.00498863	
221.4	0.00488531	0.00498883	
221.6	0.0045236	0.00498902	
221.8	0.00430506	0.00498921	
222	0.00434803	0.00498939	
222.2	0.00418155	0.00498957	
222.4	0.00395594	0.00498974	
222.6	0.00386485	0.00498991	
222.8	0.00398445	0.00499006	
223	0.00392546	0.00499022	
223.2	0.0045603	0.00499037	
223.4	0.00464869	0.00499051	
223.6	0.00496425	0.00499065	
223.8	0.00515578	0.00499079	
224	0.0054358	0.00499092	
224.2	0.00514713	0.00499105	
224.4	0.00516345	0.00499117	
224.6	0.00489198	0.00499129	
224.8	0.00522479	0.00499141	
225	0.00563259	0.00499152	
225.2	0.00559436	0.00499163	
225.4	0.00626417	0.00499173	
225.6	0.00617982	0.00499183	
225.8	0.00632913	0.00499193	
226	0.0061743	0.00499202	
226.2	0.00609281	0.00499212	
226.4	0.00591166	0.00499221	
226.6	0.00566967	0.00499229	
226.8	0.00517545	0.00499238	
227	0.00502912	0.00499246	
227.2	0.00488557	0.00499253	
227.4	0.00435718	0.00499261	
227.6	0.00420492	0.00499268	
227.8	0.00349387	0.00499275	
228	0.00350886	0.00499282	
228.2	0.00353241	0.00499289	
228.4	0.00353718	0.00499295	
228.6	0.00373481	0.00499302	
228.8	0.00401039	0.00499308	
229	0.00420041	0.00499313	
229.2	0.0041005	0.00499319	
229.4	0.00412075	0.00499325	
229.6	0.00399144	0.0049933	
229.8	0.00420327	0.00499335	
230	0.00446665	0.0049934	
230.2	0.00449431	0.00499345	
230.4	0.00419525	0.00499349	
230.6	0.00417015	0.00499354	
230.8	0.00420053	0.00499358	
231	0.00419061	0.00499363	
231.2	0.00430883	0.00499367	
231.4	0.00428027	0.00499371	
231.6	0.00476058	0.00499374	
231.8	0.00502409	0.00499378	
232	0.00554169	0.00499382	
232.2	0.00535224	0.00499385	
232.4	0.00492542	0.00499389	
232.6	0.00485456	0.00499392	
232.8	0.00450341	0.00499395	
233	0.00460283	0.00499398	
233.2	0.0044755	0.00499401	
233.4	0.0042705	0.00499404	
233.6	0.00427663	0.00499407	
233.8	0.00493114	0.00499409	
234	0.00498629	0.00499412	
234.2	0.00522524	0.00499414	
234.4	0.00540242	0.00499417	
234.6	0.00584488	0.00499419	
234.8	0.00613648	0.00499422	
235	0.00543786	0.00499424	
235.2	0.00541989	0.00499426	
235.4	0.00562366	0.00499428	
235.6	0.00580201	0.0049943	
235.8	0.00581815	0.00499432	
236	0.00506968	0.00499434	
236.2	0.0050292	0.00499436	
236.4	0.00494036	0.00499437	
236.6	0.00498964	0.00499439	
236.8	0.00508038	0.00499441	
237	0.00516353	0.00499442	
237.2	0.005506	0.00499444	
237.4	0.00544597	0.00499445	
237.6	0.00551515	0.00499447	
237.8	0.00581712	0.00499448	
238	0.00549764	0.0049945	
238.2	0.00568782	0.00499451	
238.4	0.00533899	0.00499452	
238.6	0.00500938	0.00499453	
238.8	0.00443271	0.00499455	
239	0.00374109	0.00499456	
239.2	0.00378646	0.00499457	
