Conc1	2.5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.0139945286575629	
Error Kobs	7.35602615058576E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	-0.00356726	0	
180.2	0.00290389	0.00880396	
180.4	0.0105965	0.01743401	
180.6	0.01920561	0.02589358	
180.8	0.02873573	0.03418604	
181	0.03900567	0.04231468	
181.2	0.04999084	0.05028276	
181.4	0.06142176	0.05809343	
181.6	0.07279891	0.0657498	
181.8	0.0843722	0.07325494	
182	0.09506389	0.08061181	
182.2	0.10497616	0.08782336	
182.4	0.11455835	0.09489245	
182.6	0.12329567	0.10182189	
182.8	0.13173952	0.10861445	
183	0.14013678	0.11527283	
183.2	0.14792019	0.12179968	
183.4	0.15542696	0.12819759	
183.6	0.16243914	0.13446912	
183.8	0.1689424	0.14061676	
184	0.17605916	0.14664297	
184.2	0.18250936	0.15255012	
184.4	0.18849185	0.15834059	
184.6	0.194117	0.16401667	
184.8	0.19943372	0.16958063	
185	0.20499025	0.17503467	
185.2	0.21053513	0.18038098	
185.4	0.21588033	0.18562167	
185.6	0.22119789	0.19075884	
185.8	0.22695959	0.19579452	
186	0.23201076	0.20073074	
186.2	0.23684668	0.20556944	
186.4	0.24138319	0.21031255	
186.6	0.24616766	0.21496197	
186.8	0.2509156	0.21951955	
187	0.25531169	0.22398709	
187.2	0.25911768	0.22836639	
187.4	0.26339153	0.23265917	
187.6	0.2672975	0.23686715	
187.8	0.2708475	0.24099201	
188	0.27473221	0.24503538	
188.2	0.27774455	0.24899889	
188.4	0.2809387	0.25288409	
188.6	0.28407209	0.25669255	
188.8	0.28719518	0.26042577	
189	0.29046864	0.26408525	
189.2	0.29347978	0.26767244	
189.4	0.29628456	0.27118876	
189.6	0.29941945	0.27463563	
189.8	0.30256848	0.2780144	
190	0.30522433	0.28132643	
190.2	0.30791365	0.28457303	
190.4	0.31073572	0.2877555	
190.6	0.31376807	0.29087511	
190.8	0.31628369	0.29393308	
191	0.31870761	0.29693065	
191.2	0.32070035	0.29986901	
191.4	0.32287933	0.30274932	
191.6	0.32479991	0.30557273	
191.8	0.32648848	0.30834037	
192	0.32866115	0.31105334	
192.2	0.33038038	0.31371271	
192.4	0.33255278	0.31631955	
192.6	0.33451742	0.3188749	
192.8	0.33627092	0.32137976	
193	0.3378597	0.32383515	
193.2	0.33946883	0.32624203	
193.4	0.34089558	0.32860136	
193.6	0.34253216	0.33091409	
193.8	0.34444741	0.33318113	
194	0.34587713	0.33540339	
194.2	0.34775554	0.33758175	
194.4	0.34942497	0.33971708	
194.6	0.35109297	0.34181022	
194.8	0.35246372	0.34386202	
195	0.3541225	0.34587329	
195.2	0.35560213	0.34784482	
195.4	0.35733645	0.34977741	
195.6	0.35887479	0.35167183	
195.8	0.36055482	0.35352882	
196	0.36234045	0.35534913	
196.2	0.36390018	0.35713348	
196.4	0.36552116	0.35888258	
196.6	0.36684184	0.36059713	
196.8	0.36758722	0.3622778	
197	0.36848091	0.36392528	
197.2	0.3695458	0.36554022	
197.4	0.37069001	0.36712325	
197.6	0.37173161	0.36867501	
197.8	0.37328585	0.37019612	
198	0.37410195	0.37168718	
198.2	0.3751828	0.37314878	
198.4	0.3762525	0.37458152	
198.6	0.37679534	0.37598595	
198.8	0.37754049	0.37736263	
199	0.37867022	0.37871212	
199.2	0.37973276	0.38003496	
199.4	0.38041263	0.38133166	
199.6	0.38118043	0.38260275	
199.8	0.38289294	0.38384872	
200	0.38446033	0.38507009	
200.2	0.3854703	0.38626733	
200.4	0.3862193	0.38744091	
200.6	0.38699913	0.38859132	
200.8	0.38800859	0.38971899	
201	0.38939593	0.3908244	
201.2	0.39087642	0.39190796	
201.4	0.3920147	0.39297012	
201.6	0.39296913	0.3940113	
201.8	0.39425451	0.39503191	
202	0.39444148	0.39603236	
202.2	0.39507075	0.39701305	
202.4	0.39543943	0.39797437	
202.6	0.39533909	0.39891669	
202.8	0.39597123	0.3998404	
203	0.39656658	0.40074586	
203.2	0.39691566	0.40163344	
203.4	0.39722467	0.40250348	
203.6	0.39800031	0.40335634	
203.8	0.39895902	0.40419234	
204	0.39947857	0.40501184	
204.2	0.39942979	0.40581514	
204.4	0.39974494	0.40660258	
204.6	0.40043094	0.40737446	
204.8	0.40148037	0.4081311	
205	0.40218243	0.40887278	
205.2	0.40306444	0.40959982	
205.4	0.40374196	0.41031249	
205.6	0.40462653	0.41101109	
205.8	0.40522098	0.41169588	
206	0.40532947	0.41236715	
206.2	0.40618454	0.41302516	
206.4	0.40654124	0.41367017	
206.6	0.40747594	0.41430244	
206.8	0.40853136	0.41492221	
207	0.40912717	0.41552975	
207.2	0.40978906	0.41612528	
207.4	0.41064487	0.41670905	
207.6	0.41115064	0.41728129	
207.8	0.41146283	0.41784222	
208	0.41197494	0.41839207	
208.2	0.41190162	0.41893106	
208.4	0.41219103	0.41945941	
208.6	0.41251772	0.41997731	
208.8	0.4128369	0.42048499	
209	0.41330952	0.42098263	
209.2	0.41410965	0.42147045	
209.4	0.41443298	0.42194863	
209.6	0.41482239	0.42241736	
209.8	0.41519631	0.42287684	
210	0.41551236	0.42332723	
210.2	0.41626809	0.42376874	
210.4	0.41664481	0.42420151	
210.6	0.41745825	0.42462574	
210.8	0.41783729	0.42504159	
211	0.41844082	0.42544923	
211.2	0.41882714	0.42584881	
211.4	0.41875527	0.4262405	
211.6	0.41867899	0.42662445	
211.8	0.41888115	0.42700082	
212	0.4190507	0.42736975	
212.2	0.4189116	0.42773139	
212.4	0.41923355	0.4280859	
212.6	0.41937487	0.42843339	
212.8	0.41963912	0.42877403	
213	0.42009528	0.42910793	
213.2	0.42058122	0.42943524	
213.4	0.42067755	0.42975608	
213.6	0.42111087	0.43007058	
213.8	0.42173076	0.43037888	
214	0.42229206	0.43068108	
214.2	0.4229038	0.43097731	
214.4	0.42330495	0.43126769	
214.6	0.42393178	0.43155233	
214.8	0.4243576	0.43183135	
215	0.42497282	0.43210486	
215.2	0.42527167	0.43237297	
215.4	0.42552086	0.43263578	
215.6	0.42597249	0.4328934	
215.8	0.42605457	0.43314593	
216	0.42621465	0.43339347	
216.2	0.42610965	0.43363612	
216.4	0.42609296	0.43387398	
216.6	0.42616675	0.43410713	
216.8	0.42646596	0.43433569	
217	0.42665397	0.43455973	
217.2	0.4269107	0.43477934	
217.4	0.4268683	0.43499461	
217.6	0.42725526	0.43520563	
217.8	0.42764962	0.43541249	
218	0.42783698	0.43561525	
218.2	0.42779352	0.43581401	
218.4	0.4277328	0.43600885	
218.6	0.4277908	0.43619984	
218.8	0.42809545	0.43638705	
219	0.42859295	0.43657056	
219.2	0.42905908	0.43675045	
219.4	0.42957475	0.43692679	
219.6	0.42996969	0.43709964	
219.8	0.42996757	0.43726908	
220	0.43016789	0.43743517	
220.2	0.42992393	0.43759798	
220.4	0.4303829	0.43775758	
220.6	0.43092324	0.43791402	
220.8	0.43169948	0.43806737	
221	0.43205435	0.43821769	
221.2	0.43239256	0.43836505	
221.4	0.43264114	0.43850949	
221.6	0.43299178	0.43865108	
221.8	0.4332347	0.43878987	
222	0.43348241	0.43892592	
222.2	0.43342442	0.43905928	
222.4	0.43350421	0.43919001	
222.6	0.43377785	0.43931815	
222.8	0.43419938	0.43944377	
223	0.43461932	0.4395669	
223.2	0.43486782	0.4396876	
223.4	0.43522609	0.43980591	
223.6	0.43525136	0.43992189	
223.8	0.43518203	0.44003558	
224	0.43482564	0.44014702	
224.2	0.4345569	0.44025626	
224.4	0.43457008	0.44036334	
224.6	0.43461222	0.44046831	
224.8	0.43500019	0.44057121	
225	0.43481022	0.44067207	
225.2	0.43468438	0.44077093	
225.4	0.43454951	0.44086785	
225.6	0.43478612	0.44096285	
225.8	0.43489702	0.44105597	
226	0.43511152	0.44114726	
226.2	0.43516143	0.44123674	
226.4	0.43520046	0.44132445	
226.6	0.43547486	0.44141044	
226.8	0.43562792	0.44149472	
227	0.43605327	0.44157734	
227.2	0.43637182	0.44165832	
227.4	0.43698172	0.44173771	
227.6	0.4376586	0.44181553	
227.8	0.43793054	0.44189181	
228	0.4379003	0.44196658	
228.2	0.43825837	0.44203988	
228.4	0.43847121	0.44211172	
228.6	0.43917643	0.44218215	
228.8	0.43942539	0.44225119	
229	0.43948552	0.44231887	
229.2	0.43934079	0.4423852	
229.4	0.43952462	0.44245023	
229.6	0.43939951	0.44251397	
229.8	0.43940933	0.44257646	
230	0.43932139	0.4426377	
230.2	0.43934501	0.44269774	
230.4	0.4389283	0.4427566	
230.6	0.43905567	0.44281429	
230.8	0.43885995	0.44287084	
231	0.4391147	0.44292627	
231.2	0.43915952	0.44298061	
231.4	0.4394566	0.44303387	
231.6	0.43956648	0.44308609	
231.8	0.43937589	0.44313727	
232	0.43956281	0.44318744	
232.2	0.43971982	0.44323662	
232.4	0.44010467	0.44328483	
232.6	0.44054742	0.44333208	
232.8	0.44062051	0.44337841	
233	0.44075862	0.44342381	
233.2	0.44071538	0.44346832	
233.4	0.44113028	0.44351195	
233.6	0.4407802	0.44355472	
233.8	0.44098826	0.44359665	
234	0.44094283	0.44363774	
234.2	0.44088172	0.44367803	
234.4	0.44097557	0.44371751	
234.6	0.44098552	0.44375622	
234.8	0.4408721	0.44379417	
235	0.44094024	0.44383136	
235.2	0.44076994	0.44386782	
235.4	0.4406294	0.44390356	
235.6	0.44040701	0.44393859	
235.8	0.44023218	0.44397293	
236	0.44067192	0.4440066	
236.2	0.44100857	0.44403959	
236.4	0.44122202	0.44407194	
236.6	0.44131079	0.44410365	
236.8	0.44121539	0.44413473	
237	0.4412009	0.44416519	
237.2	0.44119934	0.44419506	
237.4	0.44097563	0.44422433	
237.6	0.44054895	0.44425303	
237.8	0.44078043	0.44428116	
238	0.4410757	0.44430873	
238.2	0.44129797	0.44433576	
238.4	0.44182666	0.44436226	
238.6	0.44187724	0.44438823	
238.8	0.44218519	0.44441369	
239	0.44248311	0.44443864	
239.2	0.44273276	0.44446311	
239.4	0.4430843	0.44448709	
239.6	0.44350429	0.44451059	
239.8	0.44404881	0.44453363	
240	0.44404881	0.44455622	
240.2	0.44369134	0.44331369	
240.4	0.4430985	0.44207463	
240.6	0.44252343	0.44083904	
240.8	0.44182833	0.4396069	
241	0.4411044	0.4383782	
241.2	0.44033303	0.43715293	
241.4	0.43928602	0.4359311	
241.6	0.43794813	0.43471267	
241.8	0.43666166	0.43349765	
242	0.43542652	0.43228603	
