Conc1	5E-08	
Start1	180	
Stop1	299.8	
Kobs	0.0139945286575629	
Error Kobs	7.35602615058576E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
180	0.00965875	0	
180.2	0.02173328	0.01760823	
180.4	0.03569151	0.03457508	
180.6	0.05116254	0.05092392	
180.8	0.06828237	0.06667725	
181	0.08650904	0.08185677	
181.2	0.1050023	0.09648338	
181.4	0.12407728	0.11057721	
181.6	0.14253269	0.12415768	
181.8	0.1605066	0.13724348	
182	0.17672662	0.14985264	
182.2	0.19064936	0.16200251	
182.4	0.20320107	0.17370982	
182.6	0.21493349	0.18499069	
182.8	0.22629982	0.19586066	
183	0.23649573	0.20633469	
183.2	0.24630645	0.21642721	
183.4	0.2557326	0.22615211	
183.6	0.26453574	0.23552278	
183.8	0.27314887	0.24455213	
184	0.28069328	0.25325258	
184.2	0.28833776	0.26163612	
184.4	0.29566975	0.26971429	
184.6	0.30195773	0.27749822	
184.8	0.30873209	0.28499862	
185	0.31443975	0.29222581	
185.2	0.31984247	0.29918976	
185.4	0.32545575	0.30590004	
185.6	0.33016611	0.31236591	
185.8	0.33553709	0.31859625	
186	0.34002642	0.32459966	
186.2	0.34458307	0.33038439	
186.4	0.34852228	0.33595842	
186.6	0.35233298	0.34132941	
186.8	0.35658504	0.34650477	
187	0.36018175	0.35149161	
187.2	0.36375344	0.35629681	
187.4	0.36734788	0.36092698	
187.6	0.37073224	0.36538849	
187.8	0.37412185	0.3696875	
188	0.37739659	0.37382992	
188.2	0.38062775	0.37782145	
188.4	0.38374783	0.38166758	
188.6	0.38625556	0.38537363	
188.8	0.38937426	0.38894468	
189	0.39178484	0.39238565	
189.2	0.39402004	0.39570129	
189.4	0.39669526	0.39889616	
189.6	0.39874335	0.40197465	
189.8	0.40136806	0.40494101	
190	0.40330909	0.40779933	
190.2	0.40540419	0.41055352	
190.4	0.40726108	0.4132074	
190.6	0.40900484	0.41576461	
190.8	0.41112081	0.41822867	
191	0.41277647	0.42060299	
191.2	0.41436458	0.42289081	
191.4	0.4162583	0.4250953	
191.6	0.41756336	0.4272195	
191.8	0.41924562	0.42926632	
192	0.42078063	0.43123859	
192.2	0.42195243	0.43313901	
192.4	0.42379615	0.43497022	
192.6	0.42531833	0.43673472	
192.8	0.42680834	0.43843495	
193	0.42804929	0.44007325	
193.2	0.4289976	0.44165187	
193.4	0.43063139	0.443173	
193.6	0.43170556	0.44463872	
193.8	0.43282401	0.44605104	
194	0.43398889	0.44741193	
194.2	0.43479383	0.44872324	
194.4	0.43616206	0.44998679	
194.6	0.43688552	0.45120432	
194.8	0.4380606	0.4523775	
195	0.43933772	0.45350794	
195.2	0.4401888	0.45459721	
195.4	0.44128305	0.4556468	
195.6	0.44223536	0.45665816	
195.8	0.44334547	0.45763269	
196	0.44450582	0.45857171	
196.2	0.44553524	0.45947653	
196.4	0.44661771	0.4603484	
196.6	0.44714118	0.4611885	
196.8	0.4474327	0.46199801	
197	0.44814772	0.46277803	
197.2	0.44905809	0.46352963	
197.4	0.45009139	0.46425386	
197.6	0.451162	0.46495171	
197.8	0.45176212	0.46562414	
198	0.45275183	0.46627208	
198.2	0.45303179	0.46689642	
198.4	0.45417046	0.46749801	
198.6	0.45491439	0.46807769	
198.8	0.45565098	0.46863626	
199	0.45643671	0.46917448	
199.2	0.45686501	0.4696931	
199.4	0.45733311	0.47019283	
199.6	0.45838389	0.47067435	
199.8	0.45895845	0.47113834	
200	0.45943698	0.47158542	
200.2	0.4594611	0.47201622	
200.4	0.46000779	0.47243133	
200.6	0.46017156	0.47283131	
200.8	0.46037908	0.47321673	
201	0.46141059	0.47358811	
